TOIMENPIDE,Lyhenne,Pitkä.nimi,Långt_namn,yhteensa
FN2EC,Trombektomia,Sepelvaltimon katetrilla tehtävä trombektomia,Kateterburen trombektomi av koronarartär,24
FPF00,Epimyokardiaali tahdistin/kammioelekt,Epimyokardiaalisen tahdistimen ja kammioelektrodin asettaminen,Inläggande av epikardiell pacemaker med ventrikelelektrod,24
H2106,,,,24
IER04,INTK/RyhmäToiminn,"Psykiatrian kuntouttava ryhmäinterventio, toiminnallinen",Psykiatrisk rehabiliterande funktionell gruppintervention,24
JGB37,Peräsuolen laaja poisto tähystyksessä,Peräsuolen laaja poisto tähystyksessä,Laparoskopisk utvidgad excision av rektum,24
K124,,,,24
KGB00,Koepalan otto siittimestä,Koepalan otto siittimestä,Biopsi av penis,24
LC2DE,"Kohdun, sivuelint ja alavats vaat. UÄ erikoistekn.","Kohdun, sivuelinten ja alavatsan vaativa ultraäänitutkimus erikoistekniikoin","Livmoder, parametrier och nedre delen av buken, UL med speciell teknik",24
NAU20,Selkärangan sisäisen fiksaation poisto,Selkärangan sisäisen kiinnityslaitteen poisto,Avlägsnande av inre fixation från kotpelaren,24
PC5AT,Munuaisvalt. PTA,Munuaisvaltimon laajennushoito,"Njurartär, perkutan angioplastik",24
PDH54,"Ohitus,aorto-bifemoraalinen ohitus","Ohitusleikkaus, aorto-bifemoraalinen ohitus",Aorto-bi-femoral by-pass-operation,24
PH7YT,Alaonttolask.stentti,Alaraaja- tai alaonttolaskimon stenttaus,Dilatation av vena cava inferior eller nedre extremitetsvener med stent,24
SFC01,Muu paikkaushoidon tukitoimenpide,Paikkaushoidon tukitoimenpide,Stödåtgärd för fyllningsterapi,24
TDH60,Vierasesineen poisto nenästä,Vierasesineen poisto nenästä,Avlägsnande av främmande kropp från näsan,24
TLE00,Emättimen laajennus,Emättimen laajennus,Dilatation av vagina,24
XA400,EEG,EEG,EEG,24
AAG20,Stereotaktinen aivoelektrodiasetus,Stereotaktinen aivoelektrodien asettaminen,Stereotaktiskt inläggande av elektroder i hjärnan,24
CBH10,Luomikulman korjaamisleikkaus,Luomikulman korjausleikkaus,Rekonstruktion av kantus,24
DAD30,Korvalehden plastia,Korvalehden muodon tai asennon muuttaminen,Plastikoperation på ytterörat,24
DLD20,"Nenän muotoilu, suljettu rinoplastia","Nenän muotoilu, suljettu rinoplastia","Näsplastik, sluten rinoplastik",24
FKC61,Suonensis klipsi mitraalivuotoon,Mitraaliläpän vuodon hoitaminen suonensisäisesti asetetulla klipsillä,Rekonstruktion av insufficient mitralisklaff med transluminalt påsatt klips,24
FMA32,Aorttaläppäaukon laajentaminen suonensis,Aorttaläppäaukon laajentaminen suonensisäisesti,Transkutan transluminal expansion av aorttaklaff,24
JAL96,Muu vatsakalvon muutoksen poisto,Muu vatsakalvon muutoksen poisto,Annan exstirpation av förändring i peritoneum,24
JBB97,Muu palleatyräleikkaus tähystyksessä,Muu palleatyräleikkaus vatsaontelon tähystyksessä,Annan laparoskopisk operation av diafragmabråck,24
JDC97,Ventrikkeliresektio/muu liitos LAP,Mahalaukun osittainen poisto ja muu liitos vatsaontelon tähystyksessä,Laparoskopisk ventrikelresektion med annan rekonstruktion,24
KCV04,Virtsarakon venyttäminen nestellä tähyst,Virtsarakon venyttäminen nesteen avulla virtsatietähystyksessä,Hydrostatisk tänjning av urinblåsan vid cystoskopi,24
KFD50,Siemennuoran laskimon sitominen,Siemennuoran laskimon sitominen,Ligatur av v. spermatica,24
NBE25,Olkanivelsiteen ompelu/kiinnitys ASKO,Olkanivelen nivelsiteen ompelu tai uudelleen kiinnitys tähystyksessä,Artroskopisk sutur eller reinsertion av ledband i skulderleden,24
PA2HT,Aivoav-malf.l.tukk,Aivojen AV-malformation tai fistelin laaja embolisaatio,"Hjärnans av-malformation, omfattande embolisering",24
PHC73,"Laskimon ompelu, v. iliaca","Laskimon ompelu, v. iliaca",Venorafi på v. iliaca,24
ZXC90,Liukeneva verkko,Liukeneva verkko,Användande av absorberbara nät vid kirurgi,24
1732,,,,24
F768,,,,24
NA1AI,Kaularangan kartiokeila TT,Kaularangan kartiokeilatutkimus,"Halsrygg, cone-beam DT",24
NB2AT,"Olkanivelinj,UÄ-ohj",Olkanivelinjektio UÄ-ohjauksessa,"Axelled, UL-styrd injektion",24
NJ3NA,Raaj. pituuseromitt.,Raajojen pituuseromittausröntgen,"Benen, mätning av längdskillnad med röntgen (ortoradiografi)",24
TK823,Vatsakalvon läpäisevyyskoe,Vatsakalvon läpäisevyyskoe,Blodbyte,24
XX7GT,Radioyttrium SIRT - hoito,Radioyttrium SIRT - hoito,Radioytriumbehandling SIRT,24
AAL00,Aivoaneurysman suonensis tukkim,Aivovaltimopullistuman suonensisäinen tukkiminen,Endovaskulär ocklusion p.g.a.intrakranialt aneurysm,23
CKC10,Verkkokalvon paikallinen fotokoagulaatio,Verkkokalvon paikallinen fotokoagulaatio,"Fotokoagulation av näthinna, lokal",23
DJD10,Nenän väliseinän reiän tukkiminen,Nenän väliseinän reiän tukkiminen,Tillslutning av nässeptumperforation,23
EAB00,Huulen ompelu,Huulen ompelu,Suturering av läpp,23
FB1AC,Pulmonalis angiograf,Keuhkovaltimoiden varjoainetutkimus,Pulmonal angiografi,23
GCA08,Trakeamuutospoisto/biopsia tähystyksessä,Keuhkoputken kudosmuutoksen poisto tähystyksessä,Endobronkial exstirpation av lokal förändring i bronker,23
GEA96,Muu välikarsinan tähystystoimenpide,Muu välikarsinan tähystystoimenpide,Annan mediastinoskopisk operation,23
GEC23,Kateenkorvan poisto rintalastan kautta,Kateenkorvan poisto rintalastan kautta,Transsternal total tymektomi,23
H0222,,,,23
H0741,,,,23
JCA96,Muu ruokatorven avau/paikallinen tmp,Muu ruokatorven avaus tai paikallinen toimenpide,Annan lokal operation på esofagus,23
KF8KT,"Kivespuss,skleroter.",Kivespussin skleroterapia radiologisessa ohjauksessa,Skrotum skleroterapi,23
MBA04,Kohdun tyhjennys (kaapimalla) synnytyksen jälkeen,Kohdun tyhjennys (kaapimalla) synnytyksen jälkeen,Tömning av livmodern (skrapning) efter förlossning,23
NHW10,"Nilkka/jalkaterä,leikkhaavarevisio,infek",Nilkan tai jalkaterän alueen leikkaushaavan tarkistaminen tulehduksen vuoksi,Revision för sårinfektion efter operationer på fotleden eller foten,23
PC1CC,Aortan er.l. angiogr,Vatsa-aortan ja aortan haarojen erittäin laaja varjoainetutkimus,"Aorta och bukartärer, mycket omfattande angiografi",23
PFP99,"Perkut arterioplastia,sääri/jalkat valti","Valtimon korjaaminen suljetusti, säären tai jalkaterän valtimo",Perkutan plastik på underbens- eller fotartär,23
QX4YT,"Pinn. kert. punkt, UÄ-o",Pinnallisen kertymän punktio UÄ-ohjauksessa,Ultraljudsledd punktion av ytlig ansamling,23
SPA02,Hammasprotetiikkaan liittyvät valmistelutyöt,Hammasprotetiikkaan liittyvät valmistelutyöt,Förberedande åtgärder för tandprotetik,23
TLW14,ICSI tekniikalla hedelmöitetyn alkion si,Siittiöiden ruiskutustekniikalla hedelmöitetyn alkion siirto,Implantation av embryo befruktad med ICSI-teknik,23
TPH05,Laskimon esiin otto ja kanylointi,Laskimon esiin otto ja  kanylointi,Friläggning och kanylering av perifer ven,23
WX109,Laaja ihon pintapuudutus ulk voit / geel,Laaja ihon pintapuudutus ulkoisesti voiteella tai geelillä,Omfattande ytlig hudbedövning med utvärtes applicerad salva eller gel,23
WYA05,Ensiapu/muu vast tehdään toimenpiteitä,"Ensiapuluontoinen tai muu vastaava käynti, jolla tehdään toimenpiteitä",Första hjälpen-besök eller motsvarande,23
XJC00,Ruokatorven painemittaus,Ruokatorven painemittaus,Esofagusmanometri,23
XW4CT,"Sisäel,kudosnäyte,TT",Muun sisäelimen kudosnäytteen otto TT-ohjauksessa,"Annan inre organ, DT-styrd vävnadsbiopsi",23
ZX110,Ihonsisäinen,Ihonsisäinen,Intracutan,23
CJF40,Tekomykiöpoisto+uusi etukammiomykiö,"Tekomykiön poisto, uusi etukammiotekomykiö",Extraktion av linsprotes och insättning av ny linsprotes i främre kammaren,23
JAD96,Muu arpityrän leikkaus,Muu arpityrän leikkaus,Annan operation för ärrbråck,23
JCB00,Ruokatorviavanteen teko,Ruokatorviavanteen teko,Öppen esofagostomi,23
JJ7LT,Maksan koag.TT-oh,Maksapesäkkeen koagulaatio TT-ohjauksessa,"Lever, CT styrd värmekoagulation",23
JN4DG,Vartalo er l VKMT,Vartalon erittäin laaja magneettitutkimus,"Kropp, mycket omfattande MR",23
KDH10,Meatoplastia,Virtsaputken ulostuloaukon muovausleikkaus,Meatusplastik,23
LDC96,Muu kohdunkaulan osittainen poisto,Muu kohdunkaulan osittainen poisto,Annan cervixresektion,23
NAA30,Neulakudosnäytteen otto nikamasta,Neulakudosnäytteen otto nikamasta,Perkutan eller sluten biopsi av kota,23
NBK92,Muu solisluun luuleikkaus,Muu solisluun luuleikkaus,Annan operation på klavikel,23
NDF60,Sorminivelen  synovektomia/débridement,"Sorminivelen puhdistusleikkaus, synovektomia tai débridement","Putsning, débridement, eller synovektomi av fingerled",23
PA2JT,Aivoav-mal.er.l.tukk,Aivojen AV-malformation tai fistelin erittäin laaja embolisaatio,"Hjärnans av-malformation, mycket omfattande embolisering",23
PC6CC,"Spinaalialueen angiografia, erittäin laa",Spinaalialueen erittäin laaja angiografia,"Spinal angiografi, mycket omfattande",23
PEE24,"Tromb/embolektomia,a. femoralis profunda","Veritulpan tai tukoksen poistaminen, a. femoralis profunda",Trombektomi eller embolektomi ur a. femoralis profunda,23
PEF24,"Trombendarterektomia,a. femoralis profun","Valtimon tukoksen ja sisäkalvon poistaminen, a. femoralis profunda",Trombendarterektomi ur a. femoralis profunda,23
1612,,,,23
F269,,,,23
JC2BB,Ruokatorven 2-kontr.,Ruokatorven kaksoiskontrastitutkimus,"Esofagus, dubbelkontrastundersökning",23
N1310,,,,23
N4925,,,,23
NA7FA,"Selkäranka,muu rasit",Selkärangan kuormitusröntgen,"Ryggraden, röntgen med belastning",23
CDC00,Silmän poisto,Silmän poisto,Enukleation av ögat,22
CJF30,Tekomykiön asennon korjaamisleik,Tekomykiön asennon korjausleikkaus,Reposition av linsprotes,22
CJG40,"Luks mykiöpoisto,tk-mykiö, scleral fixoi","Luksoituneen mykiön poisto, takakammiotekomykiö kovakalvoon kiinnitettynä","Extraktion av luxerad lins med  linsprotes i bakre kammaren, skleralt fixerad lens",22
CKD94,Yhdistetty vitrektomia ja mykiötp pars p,Yhdistetty mykiötoimenpide ja lasiaisenpoisto pars planan kautta,Kombinerad vitrektomi och åtgärd på lens genom pars plana,22
DJB10,Nenän väliseinän poisto,Nenän väliseinän poisto,Resektion eller exstirpation av nässeptum,22
EAA20,Ylähuulen poisto osittain,Ylähuulen poisto osittain,Resektion av överläpp,22
EJB20,Kasvaimen tai muun muutoksen  poisto kielentyvestä,Kasvaimen tai muun muutoksen poisto kielentyvestä,Exstirpation av tumör eller annan förändring i tungbas,22
EJW99,Muu kielen tai suunpohjan leikkaus,Muu kielen tai suunpohjan leikkaus,Annan operation av tunga och munbotten,22
EWW99,Muu uusintaleikk. pään/kaulan haavan kompl. vuoksi,"Muu uusintaleikkaus leuan, suun tai nielun leikkaushaavan komplikaation vuoksi","Annan reoperation på grund av komplikation i operationssår i käke,  mun eller svalg",22
FN1AD,Sepelvaltimoiden TT,Sepelvaltimoiden tietokonetomografiatutkimus,"Kranskärlen, DT",22
GDC10,Kahden keuhkolohkon poistoleikkaus,Kahden keuhkolohkon poistoleikkaus,Bilobektomi av lunga (öppen operation),22
H0068,,,,22
H0087,,,,22
H0244,,,,22
H0380,,,,22
H0713,,,,22
H2029,,,,22
JAB40,Nivustyrän korjaus vatsaontelon kautta,Nivustyrän korjaus vatsaontelon kautta,Laparotomi med bukväggsplastik vid ljumskbråck,22
JFA56,Ulosteensiirto,Ulosteensiirto,Avföringstransplantation,22
JFH00,"Kolektomia,ileumin liitos peräsuoleen",Paksusuolen poisto kokonaan ja ileumin liitos peräsuoleen,Total kolektomi med ileorektal anastomos,22
JKE15,Kiven murskaus sappiteistä endoskopiassa,Kiven murskaus sappiteistä mahasuolikanavan tähystyksessä,Endoskopisk litotripsi i gallgång,22
NBA20,Olkapään tai olkavarren tutkimusleikkaus,Olkapään tai olkavarren tutkimusleikkaus,Exploration av skuldran/överarmen,22
NHK68,Jalkaterän luun lyhennys tai pidennys,Jalkaterän luun lyhennys tai pidennys,Förlängning/förkortning av mellanfotsben,22
PH7ZT,Alaonttolask. filtterin poisto,Alaonttolaskimon suodattimen poisto radiologisessa ohjauksessa,Intravenös avlägsnandeav v. cava interior filter,22
QDG00,Alaraajan painehaavan débridement,"Alaraajan painehaavan puhdistusleikkaus, débridement","Revision av liggsår, nedre extremiteten, débridement",22
QXE15,"Iho pintak muut poisto, ei-määr alue","Ihon pintakerroksen paikallisen muutoksen poisto, paikkaa ei määritelty","Excision av ytlig hudförändring, ospesificerad region",22
SDA14,"komplis. parod. sairauden hoito, laaja/eritt. vaat","Komplisoituneen parodontologisen sairauden hoito, laaja ja erittäin vaativa","Behandling av komplicerad parodontologisk sjukdom, omfattande och mycket krävande",22
TCW99,Muu silmän alueen pientoimenpide,Muu silmän alueen pientoimenpide,Annan mindre operation i ögonregionen,22
TFP43,Eteistakykardian ablaatio,Eteistakykardian ablaatio,Ablation av förmakstakykardi,22
TFP50,Idiopaattisen oikean kammion takykardian ablaatio,Idiopaattisen oikean kammion takykardian ablaatio,Ablation av högerkammarens utflödestraktens kammartakykardi,22
WC501,Paik. uusiu. kasv.yksink. entsyymi-inhib.hoito,Paikallisesti uusiutuneen kasvaimen yksinkertainen entsyymi-inhibiittori- ja vastaava hoito,Enkel behandling av lokalt tumörrecidiv med enzymhämmare och motsvarande,22
DBB02,Korvakäytävän kasvaimen poisto,Korvakäytävän kasvaimen poisto,Exstirpation av tumör från hörselgången,22
FXL00,Ekst-/para-/intrakorp VAD:n asett/käy,Ekstra-/para-/intrakorporeaalisen VAD:n asettaminen ja käyttö,Applikation och bruk av VAD,22
GCA18,Keuhkoputken laajennus tähystyksessä,Keuhkoputken laajennus tähystyksessä,Endoskopisk dilatation av bronker,22
JFW97,Muu ohut-/paksusuolitoimenpide LAP,Muu ohut- tai paksusuolen toimenpide vatsaontelon tähystyksessä,Annan laparoskopisk operation på tunntarm eller kolon,22
KBH00,Virtsanjohtimen ompelu,Virtsanjohtimen ompelu,Öppen sutur av uretär,22
KED10,Eturauhasen poisto rakon ja häpyluun väl,Eturauhasen poisto rakon ja häpyluun välistä,Retropubisk resektion av prostata,22
LAA01,Munasarjarakkulan punktio LAP,Munasarjarakkulan tyhjennys neulalla vatsaontelon tähystyksessä,Laparoskopisk punktion av ovarialcysta,22
LAB01,Munasarjan aukaisu LAP,Munasarjan aukaisu vatsaontelon tähystyksessä,Laparoskopisk ovariotomi,22
LCW96,Muu avoin kohtu/vieruskudosleikk.,Muu avoin kohdun ja sen vieruskudoksien leikkaus,Annan öppen operation på uterus eller dess upphängningsapparat,22
LEF01,Emättimen etuseinän korjaus etuseinäverkolla,Emättimen etuseinän korjaus etuseinäverkolla,Främre kolporafi med nät,22
NGE60,Polvilumpion nivelsiteiden korjaus,Polvilumpion nivelsiteiden korjaus,Öppen reparation av ledband associerade med patella,22
PA2FT,"Aivokasvinn emoblisaatio, eritt laa",Aivokasvaimen erittäin laaja embolisaatio,"Hjärntumörembolisering, mycket omfattande",22
PA5JT,Car.ext.avm.er.l.emb,Carotis externa -alueen AV-malformation erittäin laaja embolisaatio,"Carotis externa-områdets av-malformation, mycket omfattande embolisering",22
PB1CC,"Yläraaja,er.l. angio",Yläraajan valtimoiden erittäin laaja varjoainetutkimus,"Övre extremitet, mycket omfattande angiografi",22
PC4BT,"Suoliston valtimovuodon tukkiminen, laaja",Suoliston valtimovuodon laaja suonensisäinen tukkiminen,"Blockering av arteriell blödning i tarm, omfattande",22
YKA02,Munuaisten irrottaminen siirtoa varten,Munuaisten irrottaminen siirtoa varten,Uttagning av båda njurarna för transplantation från nekrodonator,22
ZXD31,Eritt.laaja tmp,Erittäin laaja tai vaikea toimenpide,Synnerligen extensiv eller svår åtgärd,22
ZZB50,"Jänne, vierassiirre, allografti","Jänne, vierassiirre, allografti",Transplantation av homolog sena,22
F215,,,,22
GD6CD,Thoraxin ja kaulan erittäin laaja TT,Thoraxin ja kaulan erittäin laaja tietokonetomografiatutkimus,"Torax och hals, mycket omfattande DT",22
NJ2DA,Alaraajojen rtg,Alaraajojen natiiviröntgen,"Nedre extremiteterna, röntgen",22
BAA20,Kilpirauhasen toisen lohkon resektio,Kilpirauhasen toisen lohkon poisto osittain,Unilateral subtotal resektion av sköldkörtellob,21
DAD00,Korvalehden ompelu,Korvalehden ompelu,Sutur av ytterörat,21
ENW99,Muu nielu/ymp pehmytkudosleikk,Muu nielun ja ympäröivän pehmytkudoksen leikkaus,Annan operation på farynx eller närliggande mjukdelar,21
FEA00,Sydänpussin kanavointi iholle suljetusti,Sydänpussin kanavointi iholle suljetusti,Perkutant dränage av perikardiet,21
GDB01,Keuhkorakkulan poisto tähystyksessä,Keuhkorakkulan poisto rintaontelon tähystyksessä,Torakoskopisk resektion av bulla,21
H0183,,,,21
H0237,,,,21
H0370,,,,21
K590,,,,21
NAG99,Muu selkärankaluudutus-/korjausleikkaus,Muu selkärangan luudutus- tai korjausleikkaus,Annan rekonstruktion eller osteodes på ryggraden,21
NAR99,Muu kaulan tai selän kasvaimen leikkaus,Muu kaulan tai selän kasvaimen leikkaus,Annan operation för tumör i ryggen ehler halsen,21
NGB20,"PolviTEP ilman lumpio-osaa,liukuproteesi","Polven tekonivel ilman lumpio-osaa, liukuproteesi","Glidprotes för knä, utan patellakomponent",21
PA6YT,Kaulavaltimon stenttaus,Kaulavaltimon stenttaus,"Karotisdilatation, perkutan med stent",21
PC1YT,Viskeraalisuonten stenttaus,Viskeraalisuonten stenttaus,"Viskerala blodkärl, insättande av stent",21
PDG54,"Aneurysman korjaus,aortofemoraali protee","Valtimonpullistuman korjaaminen, proteesi aortasta reisivaltimoihin",Aneurysmoperation med aorto-femoral by-pass-operation,21
PH1ST,Yläraajalaskimon liuotushoito,Yläraajalaskimon liuotushoito,"Övre extremitetsven, trombolys",21
QAB00,Pään tai kaulan ihohaavan ompelu,Pään tai kaulan ihohaavan ompelu,Hudsutur i huvud-halsregionen,21
QDA40,Alaraajaihon laser/fotokoagulaatio,Alaraajan ihomuutoksen laserkäsittely tai fotokoagulaatio,"Laserbehandling eller fotokoagulation av hudförändring, nedre extremiteten",21
QDB99,Muu alaraajaihohaavan ompelu/sidevaihto,Muu alaraajan ihon haavan ompelu tai siteenvaihto,"Annan sårbehandling, nedre extremiteten",21
SCF03,"Suun ehkhoito suuhygienistillä, laaja","Suun ehkäisevä hoito suuhygienistillä, laaja","Preventiv munvård utförd av munhygienist, omfattande",21
SPC30,Pintakiinnitteinen silta,Pintakiinnitteinen silta,Resinfästad bro,21
TDB00,Vierasesineen poisto korvakäytävästä,Vierasesineen poisto korvakäytävästä,Avlägsnande av främmande kropp från hörselgång,21
TNX30,Pehmeä sidos,Pehmeä sidos,Anläggande av mjukt bandage,21
ZX011,Saumattavat hoitoannokset - SSD hoito,Saumattavat hoitoannokset - SSD hoito,Sammanfogade strålbehandlingsdoser - SSD behandling,21
ZXE01,Toimenpiteen kesto 0-9 minuuttia,Toimenpiteen kesto 0-9 minuuttia,Vårdåtgärdens tidsåtgång 0-9 min,21
DCA30,Välikorvan eksploratio,Välikorvan aukaisu tutkimustarkoituksessa,Exploration av mellanörat,21
EMB15,Osittainen nielurisanpoisto,Osittainen nielurisanpoisto,Partiell tonsillektiomi,21
GAD96,Muu rintaonteloa muovaava leikkaus,Muu rintaonteloa muovaava leikkaus,Annan torakoplastikoperation,21
GAE40,"Kylkiluupoisto/pehmytkudosleikk,TOS",Kylkiluun poisto ja pehmytkudosleikkaus  thoracic outlet-syndrooman (TOS) vuoksi,Revbensresektion/mjukdelsoperation för TOS (thoracic outlet syndrome),21
JFC30,Paksusuolen osien välinen liitos,Paksusuolen osien välinen liitos,Öppen kolo-kolostomi,21
JGB36,Peräsuolen laaja poisto,Peräsuolen laaja poisto,Utvidgad excision av rektum,21
KDK00,Virtsaputken tekosulkija-asetus kaulaan,Virtsaputken tekosulkijan asettaminen virtsarakon kaulan ympärille,Implantation av sfinkterprotes runt blåshals,21
KWA00,"Virtsatie/sukup leikk haavarev,auenn/inf",Auenneen tai tulehtuneen urologisen leikkaushaavan tarkistaminen,Revision av sårruptur/sårinfektion efter urogenital operation,21
LCB97,Muu kohdun muutoksen poisto LAP,Muu kohdun muutoksen poisto vatsaontelon tähystyksessä,Annan laparoskopisk excision eller destruktion av förändring i uterus,21
NHL20,Jalkaterän lihaksen/jänte(id)en katkaisu,Nilkan tai jalkaterän lihaksen tai jänteen katkaisu,Delning av muskler/senor i fotleden och foten,21
QWH99,Muu iho-/subkutisleikkauksen kompl tmp,Muu iho- ja ihonalaiskudosleikkauksen komplikaatioleikkaus,Annan reoperation för komplikation efter operation på hud/subkutan vävnad,21
TFP31,Kammioiden katetritutkimus rytmihäiriöid,Sydämen kammioiden katetritutkimus rytmihäiriön takia,Ventrikulär kateterundersökning av arytmier i hjärtat,21
6050,,,,21
EL3AT,Sylkir.kudosn.UÄ-ohj,Sylkirauhasen kudosnäytteen otto UÄ-ohjauksessa,"Spottkörtel, UL-styrd vävnadsbiopsi",21
JL5AM,Sappiteiden S3TMT,Sappi- ja haimateiden suppea 3 Teslan MT,"Pankreas- och gallgångar, begränsad MR (över 1,5T)",21
KE1BM,"Eturauhasen magneettitutkimus (yli 1,5T)","Eturauhasen magneettitutkimus (yli 1,5T)","Prostata, MR (över 1,5T)",21
N1290,,,,21
N1750,,,,21
N1790,,,,21
NC2BA,Kyynärvarren l. rtg,Kyynärvarren laaja röntgen,"Underarm, omfattande röntgen",21
NK6NA,Luustoikä muu,Luustoikä erityistekniikalla,"Skelettålder, annan bestämning med röntgen",21
PD4AD,Alaraajavaltimoiden TT,Alaraajavaltimoiden TT,Nedre extremiteternas DT angiografi,21
XW2BT,"Sisäel.solunäyte,lpv",Muun sisäelimen solunäytteen otto LPV-ohjauksessa,"Annan inre organ, genomlysningsstyrd finnålsbiopsi",21
AAM00,Aivojen märkäpesäkk punktio/tyhjen,Aivojen märkäpesäkkeen pisto ja tyhjennys,Punktion och tömning av intrakranial abscess,20
CBD10,"Silmäluomen korjaus, siirre/kieleke",Silmäluomen korjaaminen siirteellä tai kielekkeellä,Rekonstruktion av ögonlock med transplantat eller lambå,20
DKW40,Nenävaltimoiden sulkeminen,Nenävaltimoiden sulkeminen,Tillslutning av näsans artärer,20
EDB20,Alaleukapuoliskon poisto,Alaleukapuoliskon poisto,Hemimandibulektomi,20
EGC30,Leukanivelen proteesileikkaus,Leukanivelen proteesileikkaus,Protesoperation på käkled,20
H0647,,,,20
JDH52,EMR pohjukaissuoli,Endoskooppinen mukoresektio (EMR) pohjukaissuolessa,Endoskopisk mukosaresektion (EMR) i duodenum,20
JGA28,Peräsuolen poltto tähystyksessä,Peräsuolen poltto tähystyksessä,Endoskopisk koagulation i rectum,20
JN4LB,Vartalon alueen katetrin paikannu,Vartalon alueen katetrin paikannus,Kateter lokalisering i kroppen,20
KA5AT,"Munuaisk.punkt,UÄ-oh",Munuaiskystan punktio UÄ-ohjauksessa,"Njurcysta, UL-styrd punktion",20
KC1AE,"V-rakko UÄ,perkut",Virtsarakon ultraäänitutkimus,"Urinblåsa, perkutan UL",20
LBF00,Munanjohtimen huuhtelu,Munanjohtimen huuhtelu,"Genomspolning av äggledare, pertubation (öppen operation)",20
LCF00,Kohdunvieruskudoksen kasvaimen poisto,Kohdunvieruskudoksen kasvaimen poisto,Öppen exstirpation av intraligamentär tumör (i parametrium),20
NAJ32,Lannerangan murtumaleikkaus takaa,Lannerangan murtumaleikkaus takaa,Posterior operation för fraktur i lumbalryggen,20
NAW10,"Kaulan/selän leikkaushaavarevisio,infekt",Niskan tai selän leikkaushaavan tarkistaminen tulehduksen vuoksi,Reoperation för sårinfektion efter operationer på ryggen och halsen,20
NFA10,Neulakudosnäyte lonkkanivelestä/reisiluu,"Neulakudosnäyte, lonkka tai reisi",Nålbiopsi från höftled eller femur,20
NHW99,"Nilkka/jalkaterä,leikkhaavarevisio,muu",Muu uusintaleikkaus nilkan tai jalkaterän haavakomplikaation vuoksi,Annan reoperation för sårkomplikation efter operationer på fotleden eller foten,20
PG1RT,Verisuonen tukkiminen,Verisuonen tukkiminen radiologisessa ohjauksessa,Blockering av blodkärl,20
SBA20,Syljen puskurikapasiteetin määritys,Syljen puskurikapasiteetin määritys,Bestämning av buffertkapacitet av saliv,20
SFC00,Alustäytepilari,Alustäytepilari,Pelare av fyllningsmaterial,20
SPA46,"Hammasprot tarkkuusjäljennös, eritt vaativa","Hammasproteettinen tarkkuusjäljennös, erittäin vaativa","Tandprotetiskt precisionsavtryck, mycket krävande",20
SPD01,Valmiin kp istuv/purennan tark koekäytön jälk,Limakalvokantoinen hammaskokoproteesi,Slemhinneburen helprotes,20
SPE00,Metallirunkoinen osaproteesi,Metallirunkoinen osaproteesi,Partiell protes med gjutet skelett,20
UKC12,Uudisrakontähystys avanteen kautta,Uudisrakontähystys avanteen kautta,Endoskopi av urinreservoar,20
WX872,Tehohoito,Tehohoito,Intensivvård,20
XQ845,Dermatoskopia,Dermatoskopia,Dermatoskopi,20
ZXB87,"Pallolaajennusmenetelmä, nenän sivuontelot","Pallolaajennusmenetelmä, nenän sivuontelot",Ballongdilatation av näsans bihålor,20
AWE00,Hermleikk uusileikk vuodon vuoksi,Hermostoleikkauksen uusintaleikkaus haavaontelon vuodon vuoksi,Reoperation för blödning efter neuro-operation,20
CFB00,Sidekalvon ompeleminen,Sidekalvon ompeleminen,Sutur av sår i bindehinnan,20
EMB00,Kasvaimen poisto nielu-/kitarisasta,Kasvaimen poisto nielurisoista tai kitarisasta,Exstirpation av tumör i tonsill eller adenoid,20
FNE21,Sepelvaltimo-a. radialis -sekvent siirre,Sepelvaltimoiden ja a. radialis -valtimosiirteen sekventiaalinen liittäminen,Sekventiella koronaranastomoser till a. radialis-transplantat,20
JAK01,Laparoskopia/dreneeraus,Vatsaontelon kanavointi vatsaontelon tähystyksessä,Laparoskopiskt dränage av bukhålan,20
NBJ86,Olkapää/olkavarsimurtuman luuduttamislei,Olkapää- tai olkavarsimurtuman myöhäisleikkaus luutumisen edistämiseksi,Sen operation för att stimulera häkning av humerusfraktur,20
NCF25,Kyynärnivelen débridement ASKO,"Kyynärnivelen puhdistus, irtopalojen poisto tähystyksessä","Artroskopisk putsning, débridement, av armbågsleden",20
NDG20,"Ranteen luudutusleikkaus, osittainen","Ranteen luudutusleikkaus, osittainen",Partiell artrodes av handled,20
NFG00,Lonkkanivelen muovausleikkaus,Lonkkanivelen muovausleikkaus,Höftledsartroplastik,20
PA2DT,Aivokasvaimen embol.,Aivokasvaimen embolisaatio,Hjärntumörembolisering,20
PA7XT,Kaulavaltimon l. suon.sis laaj ste,Aivovaltimon laaja laajennushoito ja stenttaus,"Hjärnartär, omfattande perkutan angioplastik  med stent",20
GD1BM,Keuhkojen 3TMT,Keuhkojen ja mediastinumin magneettitutkimus 3 Teslan laitteella,"Lungor och pleura, MR (över 1,5T)",20
JD1BB,Mahalaukun 2-kontr.,Mahalaukun kaksoiskontrastitutkimus,"Ventrikel, dubbelkontrast",20
NA1DM,"Kaularanka,er.l.3TMT",Kaularangan erittäin laaja 3 Teslan MT,"Halsrygg, mycket omfattande MR (över 1,5T)",20
NA7AD,Selkärangan TT,Selkärangan tietokonetomografiatutkimus,"Ryggrad, DT",20
