ICD9,n_codes,freq_finngen_per,Finnish_name,possible_english_name
7483C,26,0.00650%,TRACHEOMALACIA,"Other anomalies of larynx, trachea, and bronchus"
8364A,26,0.00650%,"LUXATIO PATELLAE, COMPLICATA","Dislocation of patella, open"
8421C,26,0.00650%,DISTORSIO/DISTEN/RUPT.ARTICULI INTERPHALANGEI MANUS,Hand sprain
8900A,26,0.00650%,VULNUS REGIONIS COXAE ET FEMORIS NON COMPLICATUM,"Open wound of hip and thigh, without mention of complication"
0350B,25,0.00625%,ERYSIPELAS STAPHYLOCOCCICA,Erysipelas
0418X,25,0.00625%,INFECTIO BACTERICA ALIA,Other specified bacterial infections in conditions classified elsewhere and of unspecified site
0981A,25,0.00625%,GONORRHOEA ACUTA REGIONIS UROGENITALIS SUPERIORIS,Gonococcal infection (acute) of upper genitourinary tract
1623C,25,0.00625%,"NEOPL MAL LOB SUPER PULMONIS,ADENOCARCINOMA","Malignant neoplasm of upper lobe, bronchus or lung"
2019X,25,0.00625%,MORBUS HODGKIN ALIA DEFINITA SEU NUD,"Hodgkin's disease, unspecified type"
2113X,25,0.00625%,NEOPLASMA BENIGNUM ALIUD COLI,Benign neoplasm of colon
2190A,25,0.00625%,NEOPLASMA BENIGNUM CERVICIS UTERI,Benign neoplasm of cervix uteri
2396A,25,0.00625%,"NEOPLASMA NON DEF CEREBRI, CEREBELLI ET TRUNCI CER",Neoplasm of unspecified nature of brain
2502B,25,0.00625%,"COMA DIABETICUM ,TYYPPI I",Diabetes mellitus with hyperosmolarity
2956F,25,0.00625%,"RESIDUAALINEN SKITSOFRENIA,REMISSIOVAIHE",Residual type schizophrenic disorders
3331A,25,0.00625%,TREMOR ESSENTIALIS,Essential and other specified forms of tremor
3682A,25,0.00625%,DIPLOPIA,Diplopia
3740A,25,0.00625%,ENTROPIUM,Entropion and trichiasis of eyelid
3869X,25,0.00625%,VERTIGO OTOGENEA NUD,Unspecified vertiginous syndromes and labyrinthine disorders
3942A,25,0.00625%,STENOSIS ET INSUFFICIENTIA MITRALIS RHEUMATICA,Mitral stenosis with insufficiency
4148B,25,0.00625%,"MORBUS CORDIS ISCHAEMICUS ALIA,AHTAUTUNUT",Other specified forms of chronic ischemic heart disease
4263A,25,0.00625%,"""LEFT BUNDLE BRANCH BLOCK (COMPLETE)""",Other left bundle branch block
4298A,25,0.00625%,ASTHENIA VASOREGULATORIA,Other ill-defined heart diseases
4789X,25,0.00625%,MB TRACTUS RESPIRATIONIS SUPERIORIS ALIA DEF/NUD,Other and unspecified diseases of upper respiratory tract
4808X,25,0.00625%,PNEUMONIA VIROSA ALIA DEFINITA,Pneumonia due to other virus not elsewhere classified
5420A,25,0.00625%,APPENDICITIS CHRONICA,Other appendicitis
5929X,25,0.00625%,CALCULI RENALES ET URETERUM NUD,"Urinary calculus, unspecified"
5941A,25,0.00625%,CALCULI VESICAE URINARIAE,Other calculus in bladder
5952A,25,0.00625%,CYSTITIS CHRONICA ALIA,Other chronic cystitis
5965A,25,0.00625%,HYPERREFLEXIA VESICAE URINARIAE,Other functional disorders of bladder
6161A,25,0.00625%,VAGINITIS ET VULVOVAGINITIS,Vaginitis and vulvovaginitis
6224A,25,0.00625%,STRICTURA CERVICIS UTERI,Stricture and stenosis of cervix
6923B,25,0.00625%,DERMATITIS ARTEFACTA E PHARMACIS ALLERGICA,Contact dermatitis and other eczema due to drugs and medicines in contact with skin
6928X,25,0.00625%,MUU KOSKETUSIHOTTUMA,Contact dermatitis and other eczema due to other specified agents
7118X,25,0.00625%,"ARTHRITIS POSTINFECTIOSA ALIA,  MÄÄRITTELEMÄTÖN",Arthropathy associated with other infectious and parasitic diseases
7152D,25,0.00625%,"OSTEORTHROSIS SECUNDARIA,KÄSI","Osteoarthrosis, localized, secondary"
7178D,25,0.00625%,LAESIO LIGAMENTORUM VARIORUM,Other internal derangement of knee
7392A,25,0.00625%,"TUKI- JA LIIKUNTAELINTEN TOIM HÄIR,RINTAKEHÄN ALUE","Nonallopathic lesions, thoracic region"
7456C,25,0.00625%,ASD CANALIS ATRIOVENTRICULARIS COMMUNIS,Endocardial cushion defects
7844L,25,0.00625%,RINOPHONIA SEU RHINOLALIA,Voice and resonance disorders
8511E,25,0.00625%,"CONTUSIO CEREBRI COMPLIC,>24 H KESTÄNYT TAJUTTOMUU",Cortex (cerebral) contusion with open intracranial wound
9422A,25,0.00625%,"COMBUSTIO TRUNCI GRADUS II,<9%",Blisters with epidermal loss due to burn [second degree] of trunk
9630A,25,0.00625%,MYRKYTYS:ANTIHISTAMIINIT,Poisoning by antiallergic and antiemetic drugs
9860A,25,0.00625%,MYRKYTYS:HIILIMONOKSIDI,Toxic effect of carbon monoxide
9986A,25,0.00625%,"LEIKKAUKSEN JÄLKEINEN AVANNE, TARK MÄÄRIT",Persistent postoperative fistula
V250A,25,0.00625%,RASKAUDEN EHKÄISYNEUVONTA,Encounter for general counseling and advice on contraceptive management
0541B,24,0.00600%,HERPES GENITALIS RECIDIVANS,Genital herpes
2114C,24,0.00600%,ADENOMA TUBULARE RECTI ET CANALIS ANALIS,Benign neoplasm of rectum and anal canal
2830A,24,0.00600%,ANAEMIA HAEMOLYTICA AUTOIMMUNISATORIA PRIMARIA,Autoimmune hemolytic anemias
3238B,24,0.00600%,"ENCEPHALITIS (MYELITIS,ENCEPHALOMYELITIS) VIROSA","Other causes of encephalitis, myelitis, and encephalomyelitis"
3321A,24,0.00600%,PARKINSONISMUS SECUNDARIUS,Secondary parkinsonism
3480A,24,0.00600%,CYSTA CEREBRALIS,Cerebral cysts
3483X,24,0.00600%,ENCEPHALOPATHIA NUD,"Encephalopathy, not elsewhere classified"
3538X,24,0.00600%,MORBI RADICULARES ET PLEXUS NERVORUM ALIA DEFINITA,Other nerve root and plexus disorders
3664A,24,0.00600%,CATARACTA DIABETICA,Cataract associated with other disorders
3681A,24,0.00600%,SUBJEKTIIVISET NÄÖN HÄIRIÖT,Subjective visual disturbances
3952A,24,0.00600%,STENOSIS ET INSUFFICIENTIA AORTAE RHEUMATICA,Rheumatic aortic stenosis with insufficiency
4168X,24,0.00600%,HYPERTONIA PULMONALIS SECUNDARIA,Other chronic pulmonary heart diseases
4220A,24,0.00600%,MYOCARDITIS ACUTA INFECTIOSA,Acute myocarditis in diseases classified elsewhere
4462A,24,0.00600%,ANGIITIS HYPERSENSITIVA,Hypersensitivity angiitis
4512A,24,0.00600%,PHLEBITIS/THROMBOPHLEBITIS NUD EXTREM. INFERIORUM,"Phlebitis and thrombophlebitis of lower extremities, unspecified"
4710A,24,0.00600%,POLYPUS CHOANAE,Polyp of nasal cavity
4782A,24,0.00600%,ABSCESSUS PARAPHARYNGEALIS,"Other diseases of pharynx, not elsewhere classified"
5262A,24,0.00600%,LEUKALUIDEN MUUT KYSTAT JA KYSTAMAISET MUUTOKSET,Other cysts of jaws
5283A,24,0.00600%,CELLULITIS ET ABSCESSUS BASEOS ORIS,Cellulitis and abscess of oral soft tissues
5521A,24,0.00600%,HERNIA PARAUMBILICALIS CUM OBSTRUCTIONE,Umbilical hernia with obstruction
5602C,24,0.00600%,VOLVULUS INTESTINI TENUIS,Volvulus
5761X,24,0.00600%,CHOLANGITIS ALIA,Cholangitis
5911A,24,0.00600%,HYDROURETERONEPHROSIS,Hydronephrosis
6109X,24,0.00600%,DYSPLASIA MAMMAE BENIGNA NUD,"Benign mammary dysplasia, unspecified"
6172A,24,0.00600%,ENDOMETRIOSIS TUBAE UTERINAE,Endometriosis of fallopian tube
6175A,24,0.00600%,ENDOMETRIOSIS INTESTINI,Endometriosis of intestine
6238X,24,0.00600%,MORBUS NONINFECTIOSUS VAGINAE ALIA DEFINITA,Other specified noninflammatory disorders of vagina
6481A,24,0.00600%,HYPERTHYREOSIS IN GRAVIDITATE,"Thyroid dysfunction complicating pregnancy, childbirth, or the puerperium"
6549B,24,0.00600%,"ANOMAL ORG PELVICIS AL DEF SEU NUD,SYNNYTYKSEN AIK","Other and unspecified abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, and the puerperium"
6584A,24,0.00600%,"AMNIONITIS, RASKAUDEN AIKANA",Infection of amniotic cavity
6619X,24,0.00600%,SYNNYTYKSEN HÄIRIÖ MUU/ NUD,Unspecified abnormality of labor
6658B,24,0.00600%,TRAUMA OBSTETRICUM ALIA DEFINITA,Other specified obstetrical trauma
6805A,24,0.00600%,CARBUNCULUS REGIONIS GLUTEALIS,Carbuncle and furuncle of buttock
7138X,24,0.00600%,ARTHROPATHIA REACTIVA ALIA,Arthropathy associated with other conditions classifiable elsewhere
7278X,24,0.00600%,"MB SYNOVIAE, TENDINIS ET BURSAE ALIA DEFINITA","Other disorders of synovium, tendon, and bursa"
7490B,24,0.00600%,PALATOSCHISIS INCOMPLETA,Cleft palate
7598X,24,0.00600%,ANOMALIAE CONGENITAE ALIAE DEFINITAE,Other specified anomalies
7685A,24,0.00600%,VASTASYNTYNEEN VAIKEA ASFYKSIA,Severe birth asphyxia
7892A,24,0.00600%,SPLENOMEGALIA,Splenomegaly
8121A,24,0.00600%,FRACTURA HUMERI PARTIS SUPERIORIS COMPLICATA,"Fracture of upper end of humerus, open"
8211A,24,0.00600%,"FRACTURA DIAPHYSEOS FEMORIS, COMPLICATA","Fracture of shaft or unspecified part of femur, open"
8213A,24,0.00600%,"FRACT CONDYLI FEMORIS LATERALIS/MEDIALIS,COMPLICATA","Fracture of lower end of femur, open"
8248X,24,0.00600%,"FRACTURA MALLEOLARIS NUD, NON COMPLICATA","Unspecified fracture of ankle, closed"
8792A,24,0.00600%,VULNERA ABDOMINALIS ANTERIORIS NON COMPLICATA,"Open wound of abdominal wall, anterior, without mention of complication"
8861A,24,0.00600%,AMPUTATIO TRAUMATICA DIGITI ALTERIUS COMPLICATA,"Traumatic amputation of other finger(s) (complete) (partial), complicated"
9692A,24,0.00600%,MYRKYTYS:BUTYROFENONIT,Poisoning by butyrophenone-based tranquilizers
0086C,23,0.00575%,ENTERITIS VIROSA ALIA DEFINITA SEU NUD,Enteritis due to specified virus
0703A,23,0.00575%,HEPATITIS B SINE COMATE HEPATICO,Viral hepatitis B without mention of hepatic coma
2134A,23,0.00575%,NEOPLASMA BENIGNUM SCAPULAE ET OSS LONG EXTR SUP,Benign neoplasm of scapula and long bones of upper limb
2362A,23,0.00575%,NEOPLASMA DEFINITUM ALIUD OVARII,Neoplasm of uncertain behavior of ovary
2394A,23,0.00575%,NEOPLASMA NON DEF VESICAE URINARIAE,Neoplasm of unspecified nature of bladder
2508A,23,0.00575%,"DIABETES MELLITUS CUM COMPLICAT NON DESCR,TYP II",Diabetes with other specified manifestations
2808X,23,0.00575%,ANAEMIA SIDEROPENICA ALIA,Other specified iron deficiency anemias
2875A,23,0.00575%,THROMBOCYTOPENIA NON DEFINITA,"Thrombocytopenia, unspecified"
2963A,23,0.00575%,"PSYCHOSIS BIPOLARIS DEPRESSIVA,NUD","Major depressive disorder, recurrent episode"
3054A,23,0.00575%,"ANKSIOLYYTTI-,SEDATIIVA- JA UNILÄÄKEPÄIHTYMYS","Sedative, hypnotic or anxiolytic abuse"
3076B,23,0.00575%,PÄIVÄKASTELU,Enuresis
3432A,23,0.00575%,"CP-OIREYHTYMÄ,TETRAPLEGIA SPASTICA",Congenital quadriplegia
3544A,23,0.00575%,CAUSALGIA,Causalgia of upper limb
3620A,23,0.00575%,RETINOPATHIA DIABETICA NON PROLIFERATIVA,Diabetic retinopathy
3626A,23,0.00575%,DEGENERATIO RETINAE PERIPHERICA,Peripheral retinal degenerations
3656F,23,0.00575%,GLAUCOMA POST UVEITIDEM,Glaucoma associated with other ocular disorders
3899X,23,0.00575%,HYPACUSIS NUD,Unspecified hearing loss
4140A,23,0.00575%,"ATHEROSCLEROSIS ARTER CORON CORDIS,EI AHTAUMAA",Coronary atherosclerosis
5111B,23,0.00575%,PLEURITIS EXSUDATIVA ALIA DEFINITA,"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis"
5282A,23,0.00575%,STOMATITIS APHTHOSA,Oral aphthae
5321B,23,0.00575%,"ULCUS PYLORI ,VUOTAVA",Acute duodenal ulcer with perforation
5321C,23,0.00575%,"ULCUS PYLORI ,PERFOROITUNUT",Acute duodenal ulcer with perforation
5713X,23,0.00575%,ALKOHOLIMAKSAVAURIO MUU,"Alcoholic liver damage, unspecified"
5758X,23,0.00575%,MUU SAPPIRAKON SAIRAUS,Other specified disorders of gallbladder
5771B,23,0.00575%,PANCREATITIS CHRONICA NONALCOHOLICA NUD,Chronic pancreatitis
5968X,23,0.00575%,MUU RAKKOVIKA,Other specified disorders of bladder
6119X,23,0.00575%,MORBII MAMMAE NUD,Unspecified breast disorder
6261B,23,0.00575%,OLIGOMENORRHOEA,Scanty or infrequent menstruation
6532A,23,0.00575%,"PELVIS ANGUSTA, ANOM APERT SUPER,RASKAUDEN AIKANA","Inlet contraction of pelvis in pregnancy, labor, and delivery"
6594B,23,0.00575%,"""GRAND MULTIPARA"" ,SYNNYTYKSEN AIKANA","Grand multiparity, with current pregnancy"
7078X,23,0.00575%,ULCUS CHRONICUM CUTIS LOCO ALIO DEFINITO,Chronic ulcer of other specified sites
7083A,23,0.00575%,DERMOGRAPHISMUS,Dermatographic urticaria
7119X,23,0.00575%,"ARTHRITIS INFECTIOSA NUD,MÄÄRITTELEMÄTÖN",Unspecified infective arthritis
7131A,23,0.00575%,ARTHROPATHIA REACT CUM MORBO NONINF SYST GASTROINT,Arthropathy associated with gastrointestinal conditions other than infections
7182A,23,0.00575%,"DISLOCATIO SPONTANEA, OLKANIVEL",Pathological dislocation
7188A,23,0.00575%,"MB ARTICULI, LIGAM ET CARTILAG AL DEF,OLKANIVEL","Other joint derangement, not elsewhere classified"
7266X,23,0.00575%,ENTHESOPATHIA GENUS ALIA DEFINITA SEU NUD,Enthesopathy of knee
7276B,23,0.00575%,RUPTURA NONTRAUMATICA TENDINIS EXT MANUS ET CARP,"Rupture of tendon, nontraumatic"
7569X,23,0.00575%,ANOMALIA SYSTEMATIS MUSCULOSCELETALIS ALIA SEU NUD,Other and unspecified anomalies of musculoskeletal system
7650A,23,0.00575%,HYVIN EPÄKYPSÄ VASTASYNTYNYT,Extreme immaturity
7721A,23,0.00575%,HAEMORRHAGIA INTRAVENTRICULARIS/ PERIVENTR. NEONAT,Intraventricular hemorrhage of fetus or newborn
8050X,23,0.00575%,"KAULARANGAN MÄÄRITTELEMÄTÖN MURTUMA,EI SELKÄYDINVAU",Closed fracture of cervical vertebra without mention of spinal cord injury
8133X,23,0.00575%,"FRACTURA PARTIS DIAPHYSEOS RADII ET ULNAE,COMPLICA","Fracture of shaft of radius and ulna, open"
8150X,23,0.00575%,"FRACTURA METACARPALIS MULTIPLEX/NUD,NON COMPLICATA",Closed fracture of metacarpal bones
8241A,23,0.00575%,"FRACTURA MALLEOLI MEDIALIS, COMPLICATA","Fracture of medial malleolus, open"
8247A,23,0.00575%,"FRACTURA TRIMALLEOLARIS, COMPLICATA","Trimalleolar fracture, open"
8350A,23,0.00575%,LUXATIO COXAE NON COMPLICATA,Closed dislocation of hip
9093A,23,0.00575%,SEQUELAE COMPLICATIO TARDA POST THERAPIAM,Late effect of complications of surgical and medical care
9231A,23,0.00575%,CONTUSIO CUBITI ET ANTEBRACHII,Contusion of elbow and forearm
9242A,23,0.00575%,"CONTUSIO TARSI ET PEDIS, DIGITO EXCEPTO","Contusion of ankle and foot, excluding toe(s)"
9832A,23,0.00575%,MYRKYTYS:EMÄKSET (LIPEÄT),Toxic effect of caustic alkalis
9951A,23,0.00575%,ANGIONEUROOTTIONEN ÖDEEMA,"Angioneurotic edema, not elsewhere classified"
0360A,22,0.00550%,MENINGITIS MENINGOCOCCICA,Meningococcal meningitis
0380A,22,0.00550%,SEPTICHAEMIA STREPTOCOCCUC BETAHAEMOLYTICUS,Streptococcal septicemia
1121A,22,0.00550%,CANDIDIASIS VULVOVAGINALIS,Candidiasis of vulva and vagina
2166A,22,0.00550%,"YLÄRAAJAN IHON BEN KASV,NAEVUS PIGMENTOSUS","Benign neoplasm of skin of upper limb, including shoulder"
2212A,22,0.00550%,NEOPLASMA BENIGNUM VULVAE,Benign neoplasm of vulva
2501A,22,0.00550%,"DIABETES MELLITUS CUM KETOACIDOSI ,TYYPPI II",Diabetes with ketoacidosis
2511A,22,0.00550%,HYPERINSULINAEMIA ALIA,Other specified hypoglycemia
2550X,22,0.00550%,SYNDROMA CUSHING NUD,Cushing's syndrome
2776A,22,0.00550%,DEFECTUS ALFA1-ANTITRYPSINI,Other deficiencies of circulating enzymes
2864A,22,0.00550%,MORBUS VON WILLEBRAND,Von Willebrand's disease
2961F,22,0.00550%,"VAKAVA MASENNUSTILA,LÄHES OIREETON,OSITTAIN REMISSI","Manic disorder, recurrent episode"
3180A,22,0.00550%,"KESKIVAIKEA ÄLYLL KEHITYSVAMMAISUUS,EI KÄYTÄYT.HÄIR",Moderate intellectual disabilities
3456B,22,0.00550%,EPILEPSIA MYOCLONICA CUM ASTASIA,Infantile spasms
4250A,22,0.00550%,CARDIOMYOPATHIA RESTRICTIVA,Endomyocardial fibrosis
5252A,22,0.00550%,ATROPHIA PROCESSUS ALVEOLARIS CUM EDENTANTIONE,Atrophy of edentulous alveolar ridge
5301B,22,0.00550%,"""BARRETT'S OESOPHAGUS""",Esophagitis
5351X,22,0.00550%,GASTRITIS ATROPHICANS NUD,Atrophic gastritis
5439X,22,0.00550%,MORBUS APPENDICIS ALIA/NUD,Other and unspecified diseases of appendix
5510A,22,0.00550%,HERNIA FEMORALIS CUM GANGRAENA,Femoral hernia with gangrene
5890A,22,0.00550%,HYPOPLASIA RENIS UNILATERALIS,Unilateral small kidney
6108X,22,0.00550%,DYSPLASIA MAMMAE BENIGNA ALIA DEFINITA,Other specified benign mammary dysplasias
6220B,22,0.00550%,METAPLASIA SQUAMOCELLULARIS CERVICIS UTERI,Erosion and ectropion of cervix
6237A,22,0.00550%,POLYPUS VAGINAE,Polyp of vagina
6255A,22,0.00550%,SYNDROMA CONGESTIONIS PELVIS,Pelvic congestion syndrome
6260A,22,0.00550%,AMENORRHOEA,Absence of menstruation
6418B,22,0.00550%,"ALIA HAEMORRHAGIA IN GRAVIDITATE,SYNN PÄÄTT HOITOJ",Other antepartum hemorrhage
6526B,22,0.00550%,"MONISIKIÖN YHT ESIINT VIRHETARJ,SYNNYTYKSEN AIKANA",Multiple gestation with malpresentation of one fetus or more
6570B,22,0.00550%,"POLYHYDRAMNION, SYNNYTYKSEN AIKANA",Polyhydramnios
6759X,22,0.00550%,MASTITIS NUD PUERP AIKANA,Unspecified infection of the breast and nipple associated with childbirth
6806A,22,0.00550%,CARBUNCULUS EXTREMITATIS INFERIORIS PEDE EXCEPTO,"Carbuncle and furuncle of leg, except foot"
6808X,22,0.00550%,CARBUNCULUS ALIO LOCO DEFINITO,Carbuncle and furuncle of other specified sites
6961D,22,0.00550%,PUSTULOSIS PALMOPLANTARIS,Other psoriasis
7099X,22,0.00550%,MORBUS CUTIS ET SUBCUTIS NUD,Unspecified disorder of skin and subcutaneous tissue
7240A,22,0.00550%,STENOSIS CANALIS SPINALIS THORACALIS,"Spinal stenosis, other than cervical"
7323B,22,0.00550%,OSTEOCHONDROSIS JUVENILIS OSSIS LUNATUM CARPI,Juvenile osteochondrosis of upper extremity
7478X,22,0.00550%,ALIAE MALEFORMATIONES ORGANORUM CIRCULATIONIS,Other specified congenital anomalies of circulatory system
7852A,22,0.00550%,SYDÄMEN VAARATON SIVUÄÄNI,Undiagnosed cardiac murmurs
7909X,22,0.00550%,MUU VERITUTKIMUKSEN EPÄSPESIFINEN LÖYDÖS,Other nonspecific findings on examination of blood
8030A,22,0.00550%,FRACTURA CRANII ALIA NON COMPLICATA,Other closed skull fracture without mention of intracranial injury
8160D,22,0.00550%,"FRACTURA DIGITI IV MANUS, NON COMPLICATA",Closed fracture of one or more phalanges of hand
8421X,22,0.00550%,"DISTORSIO,DISTENSIO SEU RUPTURA MANUS ALIA",Hand sprain
8522A,22,0.00550%,"HAEMORRHAGIA SUBDURALIS TRAUM,EI TIETOA TAJUTTOMUUD",Subdural hemorrhage following injury without mention of open intracranial wound
8602A,22,0.00550%,HAEMOTHORAX TRAUMATICUS NON COMPLICATUS,Traumatic hemothorax without mention of open wound into thorax
9552A,22,0.00550%,LAESIO TRAUMATICA NERVI ULNARIS,Injury to ulnar nerve
9654A,22,0.00550%,MYRKYTYS:AROMAATTISET ANALGEETIT,"Poisoning by aromatic analgesics, not elsewhere classified"
9882A,22,0.00550%,MYRKYTYS:MARJAT JA KASVIT,Toxic effect of berries and other plants eaten as food
0579X,21,0.00525%,EXANTHEMA VIROGENA NUD,"Viral exanthem, unspecified"
2880B,21,0.00525%,"AGRANULOCYTOSIS, E MEDICAMENTIS",Neutropenia
2912A,21,0.00525%,ALKOHOLIDEMENSSI,Alcohol-induced persisting dementia
2949X,21,0.00525%,SYNDROMA PSYCHOORGANICUM NUD,Unspecified persistent mental disorders due to conditions classified elsewhere
2952A,21,0.00525%,"KATATOONISTYYPPINEN SKITSOFRENIA,TARKEMMIN MÄÄRITTE",Catatonic type schizophrenia
3138A,21,0.00525%,UHMAKKUUSHÄIRIÖ,Other or mixed emotional disturbances of childhood or adolescence
3310A,21,0.00525%,MORBUS ALZHEIMER,Alzheimer's disease
3339X,21,0.00525%,MORBUS EXTRAPYRAMIDALIS NUD,Other and unspecified extrapyramidal diseases and abnormal movement disorders
3449X,21,0.00525%,PARALYSIS CEREBRALIS ALIA,"Paralysis, unspecified"
4294A,21,0.00525%,DISTURBATIONES FUNCTIONALES CORDIS POSTOPERATIVAE,Functional disturbances following cardiac surgery
4318X,21,0.00525%,HAEMORRHAGIA INTRACEREBRALIS ALIA DEFINITA,Intracerebral hemorrhage
5253A,21,0.00525%,RADIX RELICTA,Retained dental root
5320X,21,0.00525%,"ULCUS DUODENI PRAEPYLORI,MUU",Acute duodenal ulcer with hemorrhage
5520A,21,0.00525%,HERNIA FEMORALIS CUM OBSTRUCTIONE,Femoral hernia with obstruction
5738X,21,0.00525%,MORBUS HEPATIS ALIA DEFINITA,Other specified disorders of liver
5768X,21,0.00525%,MUU SAPPITIESAIRAUS,Other specified disorders of biliary tract
5978X,21,0.00525%,URETHRITIS NONVENEREA ALIA,Other urethritis
5998X,21,0.00525%,MORBUS VIARUM URINARIUM ALIUS DEFINITUS,Other specified disorders of urethra and urinary tract
6164A,21,0.00525%,ABSCESSUS VULVAE ALIUS,Other abscess of vulva
6220A,21,0.00525%,EROSIO SEU ECTOPIA CERVICIS,Erosion and ectropion of cervix
6233A,21,0.00525%,HYMEN RIGIDUS,Tight hymenal ring
6272A,21,0.00525%,SYMPTOMATA CLIMACTERICA,Symptomatic menopausal or female climacteric states
6410A,21,0.00525%,"PLACENTA PRAEVIA SINE HAEMORRH,HOITOJ ENNEN SYNN",Placenta previa without hemorrhage
6802A,21,0.00525%,VARTALOPAISE,Carbuncle and furuncle of trunk
6811B,21,0.00525%,PARONYCHIA DIGITORUM PEDIS,Cellulitis and abscess of toe
6832A,21,0.00525%,LYMPHADENITIS ACUTA INGUINIS,Acute lymphadenitis
7010B,21,0.00525%,LICHEN SCLEROSUS ET ATROPHICUS,Circumscribed scleroderma
7111L,21,0.00525%,"UROARTHRITIS, USEAT NIVELET",Arthropathy associated with Reiter's disease and nonspecific urethritis
7269X,21,0.00525%,ENTESOPATHIA PERIPHERICA NUD,Unspecified enthesopathy
7299X,21,0.00525%,PEHMYTOSIEN SAIRAUS NUD,Other and unspecified disorders of soft tissue
7322A,21,0.00525%,EPIPHYSIOLYSIS CAPITIS FEMORIS,Nontraumatic slipped upper femoral epiphysis
7328X,21,0.00525%,OSTEOCHONDROPATHIAE ALIA DEFINITA,Other specified forms of osteochondropathy
7337A,21,0.00525%,ATROPHIA SUDECK,Algoneurodystrophy
7359X,21,0.00525%,DEFORMATIO DIGITI PEDIS ACQUISIT NUD,Unspecified acquired deformity of toe
7432A,21,0.00525%,GLAUCOMA CONGENITUM,Buphthalmos
7530A,21,0.00525%,AGENESIA RENIS,Renal agenesis and dysgenesis
7835A,21,0.00525%,POLYDIPSIA,Polydipsia
7849A,21,0.00525%,GLOBUS HYSTERICUS,Other symptoms involving head and neck
8050C,21,0.00525%,"KAULARANGAN STAB ARCUS/PROC ARTIC-MURT,EI SPIN VAUR",Closed fracture of cervical vertebra without mention of spinal cord injury
8510D,21,0.00525%,"CONTUSIO CEREBRI NON COMP,1-24 H KESTÄNYT TAJUTTOMU",Cortex (cerebral) contusion without mention of open intracranial wound
9330A,21,0.00525%,CORPUS ALIENUM PHARYNGIS,Foreign body in pharynx
9341A,21,0.00525%,CORPUS ALIENUM BRONCHI PRINCIPALIS,Foreign body in main bronchus
9360A,21,0.00525%,CORPUS ALIENUM INTESTINI ET COLI,Foreign body in intestine and colon
9453A,21,0.00525%,"COMBUSTIO EXTREMITATIS INFERIORIS GRADUS III, <9%",Full-thickness skin loss due to burn [third degree NOS] of lower limb(s)
V611A,21,0.00525%,AVIOLLISET ONGELMAT,Counseling for marital and partner problems
0119X,20,0.00500%,"TUBERCULOSIS PULMONUM NUD, EPÄILTY",Unspecified pulmonary tuberculosis
0498X,20,0.00500%,VIROSIS ALIA SYSTEMATIS NERVORUM CENTRALIS,Other specified non-arthropod-borne viral diseases of central nervous system
1731A,20,0.00500%,"LUOMEN IHON SYÖPÄ,CA BASOCELLULARE","Other and unspecified malignant neoplasm of skin of eyelid, including canthus"
1869A,20,0.00500%,"NEOPL MAL TESTIS (SCROTALIS),SEMINOMA",Malignant neoplasm of other and unspecified testis
2153A,20,0.00500%,"ALARAAJAN BENIGNI PEHMYTKUDOSKASVAIN,SIDEKUDOSPERÄI","Other benign neoplasm of connective and other soft tissue of lower limb, including hip"
2505X,20,0.00500%,"NEUROPATHIA DIABETICA,NUD",Diabetes with ophthalmic manifestations
2512A,20,0.00500%,HYPOGLYCAEMIA REACTIVA,"Hypoglycemia, unspecified"
2891A,20,0.00500%,LYMPHADENITIS CHRONICA,Chronic lymphadenitis
2930A,20,0.00500%,DELIRIUM PSYCHOORGANICUM ALIUD,Delirium due to conditions classified elsewhere
2964A,20,0.00500%,"PSYCHOSIS BIPOLARIS CIRCULARIS,NUD","Bipolar I disorder, most recent episode (or current) manic"
3074F,20,0.00500%,UNIVALVERYTMIN HÄIRIÖ,Specific disorders of sleep of nonorganic origin
3471A,20,0.00500%,NARCOLEPSIA,Narcolepsy in conditions classified elsewhere
3619X,20,0.00500%,ABLATIO ET RUPTURA RETINAE NUD,Unspecified retinal detachment
3627A,20,0.00500%,DYSTROPHIA RETINAE PIGMENTOSA,Hereditary retinal dystrophies
3651D,20,0.00500%,GLAUCOMA PIGMENTOSUM,Open-angle glaucoma
3702A,20,0.00500%,KERATITIS SUPERFICIALIS  (SARVEISKALVOSSA),Superficial keratitis without conjunctivitis
4261A,20,0.00500%,DISSOCIATIO ATRIOVENTRICULARIS GRADUS I,"Atrioventricular block, other and unspecified"
4370A,20,0.00500%,ARTERIOSCLEROSIS CEREBRALIS,Cerebral atherosclerosis
4644A,20,0.00500%,LARYNGITIS PSEUDOCRUPOSA ACUTA,Croup
5169X,20,0.00500%,MORBUS ALVEOLARIS PULMONARIS NUD,Unspecified alveolar and parietoalveolar pneumonopathy
5311A,20,0.00500%,"ULCUS VENTRICULI ANTRI,KOMPLISOITUMATON",Acute gastric ulcer with perforation
5744B,20,0.00500%,"CHOLEDOCHOLITHIASIS CUM CHOLECYSTITIDE CHR,CUM OBST",Calculus of bile duct with other cholecystitis
5990X,20,0.00500%,INFECTIO VIARUM URINARIUM ALIA DEFINITA SEU NUD,"Urinary tract infection, site not specified"
6083A,20,0.00500%,ATROPHIA TESTIS,Atrophy of testis
