CodeId,English_name,ICD10who_name
E11.2+,Non-insulin-dependent diabetes mellitus - With renal complications,"Type 2 diabetes mellitus, with renal complications"
E11.3+,Non-insulin-dependent diabetes mellitus - With ophthalmic complications,"Type 2 diabetes mellitus, with ophthalmic complications"
E11.4+,Non-insulin-dependent diabetes mellitus - With neurological complications,"Type 2 diabetes mellitus, with neurological complications"
E11.5,Non-insulin-dependent diabetes mellitus - With peripheral circulatory complications,"Type 2 diabetes mellitus, with peripheral circulatory complications"
E11.6,Non-insulin-dependent diabetes mellitus - With other specified complications,"Type 2 diabetes mellitus, with other specified complications"
E11.7,Non-insulin-dependent diabetes mellitus - With multiple complications,"Type 2 diabetes mellitus, with multiple complications"
E11.8,Non-insulin-dependent diabetes mellitus - With unspecified complications,"Type 2 diabetes mellitus, with unspecified complications"
E11.9,Non-insulin-dependent diabetes mellitus - Without complications,"Type 2 diabetes mellitus, without complications"
E12.0,Malnutrition-related diabetes mellitus - With coma,"Malnutrition-related diabetes mellitus, with coma"
E12.1,Malnutrition-related diabetes mellitus - With ketoacidosis,"Malnutrition-related diabetes mellitus, with ketoacidosis"
E12.2+,Malnutrition-related diabetes mellitus - With renal complications,"Malnutrition-related diabetes mellitus, with renal complications"
E12.3+,Malnutrition-related diabetes mellitus - With ophthalmic complications,"Malnutrition-related diabetes mellitus, with ophthalmic complications"
E12.4+,Malnutrition-related diabetes mellitus - With neurological complications,"Malnutrition-related diabetes mellitus, with neurological complications"
E12.5,Malnutrition-related diabetes mellitus - With peripheral circulatory complications,"Malnutrition-related diabetes mellitus, with peripheral circulatory complications"
E12.6,Malnutrition-related diabetes mellitus - With other specified complications,"Malnutrition-related diabetes mellitus, with other specified complications"
E12.7,Malnutrition-related diabetes mellitus - With multiple complications,"Malnutrition-related diabetes mellitus, with multiple complications"
E12.8,Malnutrition-related diabetes mellitus - With unspecified complications,"Malnutrition-related diabetes mellitus, with unspecified complications"
E12.9,Malnutrition-related diabetes mellitus - Without complications,"Malnutrition-related diabetes mellitus, without complications"
E13.0,Other specified diabetes mellitus - With coma,"Other specified diabetes mellitus, with coma"
E13.1,Other specified diabetes mellitus - With ketoacidosis,"Other specified diabetes mellitus, with ketoacidosis"
E13.2+,Other specified diabetes mellitus - With renal complications,"Other specified diabetes mellitus, with renal complications"
E13.3+,Other specified diabetes mellitus - With ophthalmic complications,"Other specified diabetes mellitus, with ophthalmic complications"
E13.4+,Other specified diabetes mellitus - With neurological complications,"Other specified diabetes mellitus, with neurological complications"
E13.5,Other specified diabetes mellitus - With peripheral circulatory complications,"Other specified diabetes mellitus, with peripheral circulatory complications"
E13.6,Other specified diabetes mellitus - With other specified complications,"Other specified diabetes mellitus, with other specified complications"
E13.7,Other specified diabetes mellitus - With multiple complications,"Other specified diabetes mellitus, with multiple complications"
E13.8,Other specified diabetes mellitus - With unspecified complications,"Other specified diabetes mellitus, with unspecified complications"
E13.9,Other specified diabetes mellitus - Without complications,"Other specified diabetes mellitus, without complications"
E14.0,Unspecified diabetes mellitus - With coma,"Unspecified diabetes mellitus, with coma"
E14.1,Unspecified diabetes mellitus - With ketoacidosis,"Unspecified diabetes mellitus, with ketoacidosis"
E14.2+,Unspecified diabetes mellitus - With renal complications,"Unspecified diabetes mellitus, with renal complications"
E14.3+,Unspecified diabetes mellitus - With ophthalmic complications,"Unspecified diabetes mellitus, with ophthalmic complications"
E14.4+,Unspecified diabetes mellitus - With neurological complications,"Unspecified diabetes mellitus, with neurological complications"
E14.5,Unspecified diabetes mellitus - With peripheral circulatory complications,"Unspecified diabetes mellitus, with peripheral circulatory complications"
E14.6,Unspecified diabetes mellitus - With other specified complications,"Unspecified diabetes mellitus, with other specified complications"
E14.7,Unspecified diabetes mellitus - With multiple complications,"Unspecified diabetes mellitus, with multiple complications"
E14.8,Unspecified diabetes mellitus - With unspecified complications,"Unspecified diabetes mellitus, with unspecified complications"
E14.9,Unspecified diabetes mellitus - Without complications,"Unspecified diabetes mellitus, without complications"
E24,Cushing's syndrome,Cushing syndrome
E24.0,Pituitary-dependent Cushing's disease,Pituitary-dependent Cushing disease
E24.1,Nelson's syndrome,Nelson syndrome
E24.2#,Drug-induced Cushing's syndrome,Drug-induced Cushing syndrome
E24.4,Alcohol-induced pseudo-Cushing's syndrome,Alcohol-induced pseudo-Cushing syndrome
E24.8,Other Cushing's syndrome,Other Cushing syndrome
E24.9,"Cushing's syndrome, unspecified","Cushing syndrome, unspecified"
E28.0#,Estrogen excess,Ovarian dysfunction: Estrogen excess
E28.1#,Androgen excess,Ovarian dysfunction: Androgen excess
E50.1,Vitamin A deficiency with Bitot's spot and conjunctival xerosis,Vitamin A deficiency with Bitot spot and conjunctival xerosis
E51.2,Wernicke's encephalopathy,Wernicke encephalopathy
E66.9,Simple obesity NOS,"Obesity, unspecified"
E67.2,Megavitamin-B6 syndrome,Megavitamin-B6syndrome
E75.0,GM2 gangliosidosis,GM2gangliosidosis
E78.2,Sporadic combined hyperlipidemias,Mixed hyperlipidaemia
E80.4,Gilbert's syndrome,Gilbert syndrome
E83.3,Disorders of phosphorus metabolism,Disorders of phosphorus metabolism and phosphatases
F00*,Dementia in Alzheimer's disease,Dementia in Alzheimer disease
F00.0*,Dementia in Alzheimer's disease with early onset,Dementia in Alzheimer disease with early onset
F00.9*,"Dementia in Alzheimer's disease, unspecified","Dementia in Alzheimer disease, unspecified"
F02.0*,Dementia in Pick's disease,Dementia in Pick disease
F02.2*,Dementia in Huntington's disease,Dementia in Huntington disease
F02.3*,Dementia in Parkinson's disease,Dementia in Parkinson disease
F10.0,Mental and behavioural disorders due to use of alcohol - Acute intoxication,"Mental and behavioural disorders due to use of alcohol, Acute intoxication"
F10.1,Mental and behavioural disorders due to use of alcohol - Harmful use,"Mental and behavioural disorders due to use of alcohol, Harmful use"
F10.2,Mental and behavioural disorders due to use of alcohol - Dependence syndrome,"Mental and behavioural disorders due to use of alcohol, Dependence syndrome"
F10.3,Mental and behavioural disorders due to use of alcohol - Withdrawal state,"Mental and behavioural disorders due to use of alcohol, Withdrawal state"
F10.4,Mental and behavioural disorders due to use of alcohol - Withdrawal state with delirium,"Mental and behavioural disorders due to use of alcohol, Withdrawal state with delirium"
F10.5,Mental and behavioural disorders due to use of alcohol - disorder,"Mental and behavioural disorders due to use of alcohol, Psychotic disorder"
F10.6,Mental and behavioural disorders due to use of alcohol - Amnesic syndrome,"Mental and behavioural disorders due to use of alcohol, Amnesic syndrome"
F10.7,Mental and behavioural disorders due to use of alcohol - Residual and late-onset psychotic disorder,"Mental and behavioural disorders due to use of alcohol, Residual and late-onset psychotic disorder"
F10.8,Mental and behavioural disorders due to use of alcohol - Other mental and behavioural disorders,"Mental and behavioural disorders due to use of alcohol, Other mental and behavioural disorders"
F10.9,Mental and behavioural disorders due to use of alcohol - Unspecified mental and behavioural disorder,"Mental and behavioural disorders due to use of alcohol, Unspecified mental and behavioural disorder"
F11.0,Mental and behavioural disorders due to use of opioids - Acute intoxication,"Mental and behavioural disorders due to use of opioids, acute intoxication"
F11.1,Mental and behavioural disorders due to use of opioids - Harmful use,"Mental and behavioural disorders due to use of opioids, harmful use"
F11.2,Mental and behaviourah disorders due to use of opioids - Dependence syndrome,"Mental and behavioural disorders due to use of opioids, dependence syndrome"
F11.3,Mental and behavioural disorders due to use of opioids - Withdrawal state,"Mental and behavioural disorders due to use of opioids, withdrawal state"
F11.4,Mental and behavioural disorders due to use of opioids - Withdrawal state with delirium,"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"
F11.5,Mental and behavioural disorders due to use of opioids - disorder,"Mental and behavioural disorders due to use of opioids, psychotic disorder"
F11.6,Mental and behavioural disorders due to use of opioids - Amnesic syndrome,"Mental and behavioural disorders due to use of opioids, amnesic syndrome"
F11.7,Mental and behavioural disorders due to use of opioids - Residual and late-onset psychotic disorder,"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"
F11.8,Mental and behavioural disorders due to use of opioids - Other mental and behavioural disorders,"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"
F11.9,Mental and behavioural disorders due to use of opioids - Unspecified mental and behavioural disorder,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"
F12.0,Mental and behavioural disorders due to use of cannabinoids - Acute intoxication,"Mental and behavioural disorders due to use of cannabinoids, acute intoxication"
F12.1,Mental and behavioural disorders due to use of cannabinoids - Harmful use,"Mental and behavioural disorders due to use of cannabinoids, harmful use"
F12.2,Mental and behavioural disorders due to use of cannabinoids - Dependence syndrome,"Mental and behavioural disorders due to use of cannabinoids, dependence syndrome"
F12.3,Mental and behavioural disorders due to use of cannabinoids - Withdrawal state,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state"
F12.4,Mental and behavioural disorders due to use of cannabinoids - Withdrawal state with delirium,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium"
F12.5,Mental and behavioural disorders due to use of cannabinoids - disorder,"Mental and behavioural disorders due to use of cannabinoids, psychotic disorder"
F12.6,Mental and behavioural disorders due to use of cannabinoids - Amnesic syndrome,"Mental and behavioural disorders due to use of cannabinoids, amnesic syndrome"
F12.7,Mental and behavioural disorders due to use of cannabinoids - Residual and late-onset psychotic disorder,"Mental and behavioural disorders due to use of cannabinoids, residual and late-onset psychotic disorder"
F12.8,Mental and behavioural disorders due to use of cannabinoids - Other mental and behavioural disorders,"Mental and behavioural disorders due to use of cannabinoids, other mental and behavioural disorders"
F12.9,Mental and behavioural disorders due to use of cannabinoids - Unspecified mental and behavioural disorder,"Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder"
F13.0,Mental and behavioural disorders due to use of sedatives or hypnotics - Acute intoxication,"Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication"
F13.1,Mental and behavioural disorders due to use of sedatives or hypnotics - Harmful use,"Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use"
F13.2,Mental and behavioural disorders due to use of sedatives or hypnotics - Dependence syndrome,"Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome"
F13.3,Mental and behavioural disorders due to use of sedatives or hypnotics - Withdrawal state,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state"
F13.4,Mental and behavioural disorders due to use of sedatives or hypnotics - Withdrawal state with delirium,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state with delirium"
F13.5,Mental and behavioural disorders due to use of sedatives or hypnotics - disorder,"Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder"
F13.6,Mental and behavioural disorders due to use of sedatives or hypnotics - Amnesic syndrome,"Mental and behavioural disorders due to use of sedatives or hypnotics, amnesic syndrome"
F13.7,Mental and behavioural disorders due to use of sedatives or hypnotics - Residual and late-onset psychotic disorder,"Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder"
F13.8,Mental and behavioural disorders due to use of sedatives or hypnotics - Other mental and behavioural disorders,"Mental and behavioural disorders due to use of sedatives or hypnotics, other mental and behavioural disorders"
F13.9,Mental and behavioural disorders due to use of sedatives or hypnotics - Unspecified mental and behavioural disorder,"Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder"
F14.0,Mental and behavioural disorders due to use of cocaine - Acute intoxication,"Mental and behavioural disorders due to use of cocaine, acute intoxication"
F14.1,Mental and behavioural disorders due to use of cocaine - Harmful use,"Mental and behavioural disorders due to use of cocaine, harmful use"
F14.2,Mental and behavioural disorders due to use of cocaine - Dependence syndrome,"Mental and behavioural disorders due to use of cocaine, dependence syndrome"
F14.3,Mental and behavioural disorders due to use of cocaine - Withdrawal state,"Mental and behavioural disorders due to use of cocaine, withdrawal state"
F14.4,Mental and behavioural disorders due to use of cocaine - Withdrawal state with delirium,"Mental and behavioural disorders due to use of cocaine, withdrawal state with delirium"
F14.5,Mental and behavioural disorders due to use of cocaine - disorder,"Mental and behavioural disorders due to use of cocaine, psychotic disorder"
F14.6,Mental and behavioural disorders due to use of cocaine - Amnesic syndrome,"Mental and behavioural disorders due to use of cocaine, amnesic syndrome"
F14.7,Mental and behavioural disorders due to use of cocaine - Residual and late-onset psychotic disorder,"Mental and behavioural disorders due to use of cocaine, residual and late-onset psychotic disorder"
F14.8,Mental and behavioural disorders due to use of cocaine - Other mental and behavioural disorders,"Mental and behavioural disorders due to use of cocaine, other mental and behavioural disorders"
F14.9,Mental and behavioural disorders due to use of cocaine - Unspecified mental and behavioural disorder,"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"
F15.0,"Mental and behavioural disorders due to use of other stimulants, including caffeine - Acute intoxication","Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication"
F15.1,"Mental and behavioural disorders due to use of other stimulants, including caffeine - Harmful use","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"
F15.2,"Mental and behavioural disorders due to use of other stimulants, including caffeine - Dependence syndrome","Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome"
F15.3,"Mental and behavioural disorders due to use of other stimulants, including caffeine - Withdrawal state","Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state"
F15.4,"Mental and behavioural disorders due to use of other stimulants, including caffeine - Withdrawal state with delirium","Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium"
F15.5,"Mental and behavioural disorders due to use of other stimulants, including caffeine - disorder","Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder"
F15.6,"Mental and behavioural disorders due to use of other stimulants, including caffeine - Amnesic syndrome","Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome"
F15.7,"Mental and behavioural disorders due to use of other stimulants, including caffeine - Residual and late-onset psychotic disorder","Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder"
F15.8,"Mental and behavioural disorders due to use of other stimulants, including caffeine - Other mental and behavioural disorders","Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders"
F15.9,"Mental and behavioural disorders due to use of other stimulants, including caffeine - Unspecified mental and behavioural disorder","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"
F16.0,Mental and behavioural disorders due to use of hallucinogens - Acute intoxication,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication"
F16.1,Mental and behavioural disorders due to use of hallucinogens - Harmful use,"Mental and behavioural disorders due to use of hallucinogens, harmful use"
F16.2,Mental and behavioural disorders due to use of hallucinogens - Dependence syndrome,"Mental and behavioural disorders due to use of hallucinogens, dependence syndrome"
F16.5,Mental and behavioural disorders due to use of hallucinogens - disorder,"Mental and behavioural disorders due to use of hallucinogens, psychotic disorder"
F16.6,Mental and behavioural disorders due to use of hallucinogens - Amnesic syndrome,"Mental and behavioural disorders due to use of hallucinogens, amnesic syndrome"
F16.7,Mental and behavioural disorders due to use of hallucinogens - Residual and late-onset psychotic disorder,"Mental and behavioural disorders due to use of hallucinogens, residual and late-onset psychotic disorder"
F16.8,Mental and behavioural disorders due to use of hallucinogens - Other mental and behavioural disorders,"Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders"
F16.9,Mental and behavioural disorders due to use of hallucinogens - Unspecified mental and behavioural disorder,"Mental and behavioural disorders due to use of hallucinogens, unspecified mental and behavioural disorder"
F17.1,Mental and behavioural disorders due to use of tobacco - Harmful use,"Mental and behavioural disorders due to use of tobacco, harmful use"
F17.2,Mental and behavioural disorders due to use of tobacco - Dependence syndrome,"Mental and behavioural disorders due to use of tobacco, dependence syndrome"
F17.3,Mental and behavioural disorders due to use of tobacco - Withdrawal state,"Mental and behavioural disorders due to use of tobacco, withdrawal state"
F17.8,Mental and behavioural disorders due to use of tobacco - Other mental and behavioural disorders,"Mental and behavioural disorders due to use of tobacco, other mental and behavioural disorders"
F17.9,Mental and behavioural disorders due to use of tobacco - Unspecified mental and behavioural disorder,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"
F18.0,Mental and behavioural disorders due to use of volatile solvents - Acute intoxication,"Mental and behavioural disorders due to use of volatile solvents, acute intoxication"
F18.1,Mental and behavioural disorders due to use of volatile solvents - Harmful use,"Mental and behavioural disorders due to use of volatile solvents, harmful use"
F18.2,Mental and behavioural disorders due to use of volatile solvents - Dependence syndrome,"Mental and behavioural disorders due to use of volatile solvents, dependence syndrome"
F18.3,Mental and behavioural disorders due to use of volatile solvents - Withdrawal state,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state"
F18.4,Mental and behavioural disorders due to use of volatile solvents - Withdrawal state with delirium,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state with delirium"
F18.5,Mental and behavioural disorders due to use of volatile solvents - disorder,"Mental and behavioural disorders due to use of volatile solvents, psychotic disorder"
F18.6,Mental and behavioural disorders due to use of volatile solvents - Amnesic syndrome,"Mental and behavioural disorders due to use of volatile solvents, amnesic syndrome"
F18.7,Mental and behavioural disorders due to use of volatile solvents - Residual and late-onset psychotic disorder,"Mental and behavioural disorders due to use of volatile solvents, residual and late-onset psychotic disorder"
F18.8,Mental and behavioural disorders due to use of volatile solvents - Other mental and behavioural disorders,"Mental and behavioural disorders due to use of volatile solvents, other mental and behavioural disorders"
F18.9,Mental and behavioural disorders due to use of volatile solvents - Unspecified mental and behavioural disorder,"Mental and behavioural disorders due to use of volatile solvents, unspecified mental and behavioural disorder"
F19.0,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - Acute intoxication,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, acute intoxication"
F19.1,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - Harmful use,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"
F19.2,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - Dependence syndrome,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"
F19.3,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - Withdrawal state,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state"
F19.4,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - Withdrawal state with delirium,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state with delirium"
F19.5,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - disorder,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, psychotic disorder"
F19.6,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - Amnesic syndrome,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, amnesic syndrome"
F19.7,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - Residual and late-onset psychotic disorder,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, residual and late-onset psychotic disorder"
F19.8,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - Other mental and behavioural disorders,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, other mental and behavioural disorders"
F19.9,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances - Unspecified mental and behavioural disorder,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"
F66.8,Other specified disorders of psychosexual development,Other psychosexual development disorders
F71.0,"Moderate mental retardation with the statement of no, or minimal, impairment of behviour","Moderate mental retardation, with the statement of no, or minimal, impairment of behaviour"
F71.1,Moderate mental retardation significant impairment of behaviour requiring attention or treatment,"Moderate mental retardation, significant impairment of behaviour requiring attention or treatment"
F71.9,Moderate mental retardation without mention of impairment of behaviour,"Moderate mental retardation, without mention of impairment of behaviour"
F72.0,"Severe mental retardation with the statement of no, or minimal, impairment of behviour","Severe mental retardation, with the statement of no, or minimal, impairment of behaviour"
F72.1,Severe mental retardation significant impairment of behaviour requiring attention or treatment,"Severe mental retardation, significant impairment of behaviour requiring attention or treatment"
F72.9,Severe mental retardation without mention of impairment of behaviour,"Severe mental retardation, without mention of impairment of behaviour"
F73.0,"Profound mental retardation with the statement of no, or minimal, impairment of behviour","Profound mental retardation, with the statement of no, or minimal, impairment of behaviour"
F73.1,Profound mental retardation significant impairment of behaviour requiring attention or treatment,"Profound mental retardation, significant impairment of behaviour requiring attention or treatment"
F73.9,Profound mental retardation without mention of impairment of behaviour,"Profound mental retardation, without mention of impairment of behaviour"
F78.0,"Other mental retardation with the statement of no, or minimal, impairment of behviour","Other mental retardation, with the statement of no, or minimal, impairment of behaviour"
F78.1,Other mental retardation significant impairment of behaviour requiring attention or treatment,"Other mental retardation, significant impairment of behaviour requiring attention or treatment"
F78.9,Other mental retardation without mention of impairment of behaviour,"Other mental retardation, without mention of impairment of behaviour"
F79.0,"Unspecified mental retardation with the statement of no, or minimal, impairment of behviour","Unspecified mental retardation, with the statement of no, or minimal, impairment of behaviour"
F79.1,Unspecified mental retardation significant impairment of behaviour requiring attention or treatment,"Unspecified mental retardation, significant impairment of behaviour requiring attention or treatment"
F79.9,Unspecified mental retardation,"Unspecified mental retardation, without mention of impairment of behaviour"
F84.2,Rett's syndrome,Rett syndrome
F84.5,Asperger's syndrome,Asperger syndrome
F95.2,Combined vocal and multiple motor tic disorder,Combined vocal and multiple motor tic disorder [de la Tourette]
G02.0*B05.1,Meningitis (due to) measles,Measles complicated by meningitis
G05.1*B05.0,"Encephalitis, myelitis or encephalomyelitis (in) measles",Measles complicated by encephalitis
G10,Huntington's disease,Huntington disease
G13.2*,"Systemic atrophy primarily affecting central nervous system in myxoedema (E00.1, E03)",Systemic atrophy primarily affecting central nervous system in myxoedema
G20,Parkinson's disease,Parkinson disease
G23.1,Progressive supranuclear ophthalmoplegia,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
G23.2,Striatonigral degeneration,"Multiple system atrophy, parkinsonian type [MSA-P]"
G30,Alzheimer's disease,Alzheimer disease
G30.0,Alzheimer's disease with early onset,Alzheimer disease with early onset
G30.1,Alzheimer's disease with late onset,Alzheimer disease with late onset
G30.8,Other Alzheimer's disease,Other Alzheimer disease
G30.9,"Alzheimer's disease, unspecified","Alzheimer disease, unspecified"
G40.3,"Generalized epileptic syndromes with atonic, clonic, myoclonic or tonic-clonic seizures",Generalized idiopathic epilepsy and epileptic syndromes
G46*,Vascular syndromes of brain in cerebrovascular diseases (I60-I67+),Vascular syndromes of brain in cerebrovascular diseases
G46.3*,Brain stem stroke syndrome (I60-I67),Brain stem stroke syndrome
G46.3*I67.9,Brain stem stroke syndrome (I60-I67+),Brain stem stroke syndrome
G46.4*,Cerebellar stroke syndrome (I60-I67),Cerebellar stroke syndrome
G46.4*I67.9,Cerebellar stroke syndrome,Cerebellar stroke syndrome
G46.5*,Pure motor hacunar syndrome (I60-I67+),Pure motor lacunar syndrome
G46.5*I67.9,Pure motor lacunar syndrome,Pure motor lacunar syndrome
G46.6*,Pure sensory lacunar syndrome (I60-I67+),Pure sensory lacunar syndrome
G46.6*I67.9,Pure sensory lacunar syndrome,Pure sensory lacunar syndrome
G46.7*,Other lacunar syndromes (I60-I67+),Other lacunar syndromes
G46.7*I67.9,Other lacunar syndromes,Other lacunar syndromes
G46.8*,Other vascular syndromes of brain in cerebrovascular diseases (I60-I67),Other vascular syndromes of brain in cerebrovascular diseases
G51.0,Bell's palsy,Bell palsy
G51.2,Melkersson's syndrome,Melkersson syndrome
G53.3*,Multiple cranial nerve pahsies in neoplastic disease (C00-D48+),Multiple cranial nerve palsies in neoplastic disease
G55.0*,Nerve root and plexus compressions in neoplastic disease (C00-D48+),Nerve root and plexus compressions in neoplastic disease
G55.1*,Nerve root and plexus compressions in intervertebral disc disorders (M50-M51+),Nerve root and plexus compressions in intervertebral disc disorders
G55.3*,"Nerve root and plexus compressions in other dorsopathies (M45-M46+, M48.-+, M53-M54+)",Nerve root and plexus compressions in other dorsopathies
G59.0*,Diabetic mononeuropathy (E10-E14+ with common fourth character .4),Diabetic mononeuropathy
G60.1,Refsum's disease,Refsum disease
G63.1*,Polyneuropathy in neoplastic disease (C00-D48+),Polyneuropathy in neoplastic disease
G63.2*,Diabetic polyneuropathy (E10-E14+ with common fourth character .4),Diabetic polyneuropathy
G63.3*,"Polyneuropathy in other endocrine and metabolic diseases (E00-E07+, E15-E16+, E20-E34+, E70-E89+)",Polyneuropathy in other endocrine and metabolic diseases
G63.4*,Polyneuropathy in nutritional deficiency (E40-E64+),Polyneuropathy in nutritional deficiency
G63.5*,Polyneuropathy in systemic connective tissue disorders (M30-M35+),Polyneuropathy in systemic connective tissue disorders
G63.6*,"Polyneuropathy in other musculoskeletal disorders (M00-M25+, M40-M96+)",Polyneuropathy in other musculoskeletal disorders
G71.0,Other muscular dystrophy,Muscular dystrophy
G71.08,Other muscular dystrophy,Muscular dystrophy
G73.1*,Eaton-Lambert syndrome,Lambert-Eaton syndrome
G73.1*C80.99,Eaton-Lambert syndrome,Lambert-Eaton syndrome
G73.2*,Other myasthenic syndromes in neoplastic disease (C00-D48+),Other myasthenic syndromes in neoplastic disease
G80,Infantile cerebral palsy,Cerebral palsy
G80.8,Other infantile cerebral palsy,Other cerebral palsy
G80.9,"Infantile cerebral palsy, unspecified","Cerebral palsy, unspecified"
G83.5,Locked in -syndrome,Locked-in syndrome
G90.2,Horner's syndrome,Horner syndrome
G93.7#,Reye's syndrome,Reye syndrome
G94.0*,Hydrocephalus in infectious and parasitic diseases classified elsewhere (A00-B99+),Hydrocephalus in infectious and parasitic diseases classified elsewhere
H02.3,Blefarochalasis,Blepharochalasis
H28.0*,Diabetic cataract (E10-E14+ with common fourth character .3),Diabetic cataract
H54,Blindness and low vision,Visual impairment including blindness (binocular or monocular)
H54.0,"Blindness, both eyes","Blindness, binocular"
H54.1,"Blindness, one eye, low vision other eye","Severe visual impairment, binocular"
H54.2,"Low vision, both eyes","Moderate visual impairment, binocular"
H54.3,"Unqualified visual loss, both eyes","Mild or no visual impairment, binocular"
H54.4,"Blindness, one eye","Blindness, monocular"
H54.5,"Low vision, one eye","Severe visual impairment, monocular"
H54.6,"Unqualified visual loss, one eye","Moderate visual impairment, monocular"
H59.0,Vitreous syndrome following cataract surgery,Keratopathy (bullous aphakic) following cataract surgery
H67.1*B05.3,Otitis media in measles,Measles complicated by otitis media
H81.0,Ménière's disease,Ménière disease
I20.1,Angina angiospastic,Angina pectoris with documented spasm
I24.1,Dressler's syndrome,Dressler syndrome
I48.9,"Atrial fibrillation and atrial flutter, unspecified,","Atrial fibrillation and atrial flutter, unspecified"
I67.9+G46.3,Brain stem stroke syndrome (I60-I67+),Brain stem stroke syndrome
I67.9+G46.4,Cerebellar stroke syndrome,Cerebellar stroke syndrome
I67.9+G46.5,Pure motor lacunar syndrome,Pure motor lacunar syndrome
I67.9+G46.6,Pure sensory lacunar syndrome,Pure sensory lacunar syndrome
I67.9+G46.7,Other lacunar syndromes,Other lacunar syndromes
I72,Other aneurysm,Other aneurysm and dissection
I72.0,Aneurysm of carotid artery,Aneurysm and dissection of carotid artery
I72.1,Aneurysm of artery of upper extremity,Aneurysm and dissection of artery of upper extremity
I72.2,Aneurysm of renal artery,Aneurysm and dissection of renal artery
I72.3,Aneurysm of iliac artery,Aneurysm and dissection of iliac artery
I72.4,Aneurysm of artery of lower extremity,Aneurysm and dissection of artery of lower extremity
I72.8,Aneurysm of other specified arteries,Aneurysm and dissection of other specified arteries
I72.9,Aneurysm of unspecified site,Aneurysm and dissection of unspecified site
I73.0,Raynaud's syndrome,Raynaud syndrome
I84,Haemorrhoids,Hemorrhoids
I84.0,Internal thrombosed haemorrhoids,Internal thrombosed hemorrhoids
I84.1,Internal haemorrhoids with other complications,Internal hemorrhoids with other complications
I84.2,Internal haemorrhoids without complication,Internal hemorrhoids without complication
I84.3,External thrombosed haemorrhoids,External thrombosed hemorrhoids
I84.4,External haemorrhoids with other complications,External hemorrhoids with other complications
I84.5,External haemorrhoids without complication,External hemorrhoids without complication
