ICD9	ICD9LYH	ICD9TXT
6952C	VASCULITIS NODULARIS	VASCULITIS NODULARIS,ERYTHEMA INDURATUM NONTUBERCUL
6953A	ROSACEA	ROSACEA
6953B	DERMATITIS PERIORALI	DERMATITIS PERIORALIS
6953C	LUPUS MIL DISSEM FAC	LUPUS MILIARIS DISSEMINATUS FACIEI
6953D	RHINOPHYMA	RHINOPHYMA
6954A	LUPUS ERYTH DISCOIDE	LUPUS ERYTHEMATOSUS DISCOIDES
6954B	LUPUS ERYT DISC DISS	LUPUS ERYTHEMATOSUS DISCOIDES DISSEMINATUS
6954C	LUPUS ERYT DISC PROF	LUPUS ERYTHEMATOSUS DISCOIDES PROFUNDUS
6958A	INTERTRIGO	INTERTRIGO
6958B	ERYTHEMA ANNULARE	ERYTHEMA ANNULARE (CENTRIFUGUM)
6958X	CASUS ERYTHEMAT ALIA	CASUS ERYTHEMATODES ALIA DEFINITA
6959X	CASUS ERYTHEMAT NUD	CASUS ERYTHEMATODES NUD
696	PSORIASIS	PSORIASIS ET ALII CASUS PSORIASIFORMIS
6960A	PSORI ARTHROPATHICA	PSORIASIS ARTHROPATHICA
6961A	PSORIASIS VULGARIS	PSORIASIS VULGARIS
6961B	PSORIASIS PUSTULOSA	PSORIASIS PUSTULARIS
6961C	ACRODERMAT CONTINUA	ACRODERMATITIS CONTINUA
6961D	PUSTUL PALMOPLANTARI	PUSTULOSIS PALMOPLANTARIS
6962A	PITYR LICHENOIDES AC	PITYRIASIS LICHENOIDES ACUTA (MUCHA-HABERMAN)
6962B	PITYR LICHENOID CHRO	PITYRIASIS LICHENOIDES CHRONICA
6962C	PARAPSORI EN PLAQUES	PARAPSORIASIS EN PLAQUES LAQUE
6962D	PARAPSORI VARIEGATA	PARAPSORIASIS VARIEGATA
6963A	PITYRIASIS ROSEA	PITYRIASIS ROSEA
6964A	PITYRI RUBRA PILARIS	PITYRIASIS RUBRA PILARIS
6965A	PITYRIASIS ALBA	PITYRIASIS ALBA
6968A	SDR GIANOTTI CROSTI	SYNDROMA GIANNOTTI CROSTI
6968X	PSOIASIS ALIA/NUD	PSORIASIS ALIA DEFINITA SEU NUD
697	LICHEN	JÄKÄLÄTAUTI
6970A	LICHEN RUBER PLANUS	LICHEN RUBER PLANUS
6970B	LICHEN RUBER VERRUCO	LICHEN RUBER VERRUCOSUS
6970C	LICHEN PLANOPILARIS	LICHEN PLANOPILARIS
6971A	LICHEN NITIDUS	LICHEN NITIDUS
6978X	LICHEN ALIUS DEFINIT	LICHEN ALIA DEFINITA
6979X	LICHEN NUD	LICHEN NUD
698	PRURITUS/MORBI SIMIL	PRURITUS ET MORBI SIMILES
6980A	PRURITUS ANI	PRURITUS ANI
6981A	PRURITUS GENITALIUM	PRURITUS GENITALIUM
6982A	STROPHULUS	STROPHULUS
6983A	PRURIGO NODULAR HYDE	PRURIGO NODULARIS HYDE
6983B	NEURODERM CIRCUMSCRI	NEURODERMATITIS CIRCUMSCRIPTA
6984A	LICHENIFI/DERM ARTEF	LICHENIFICATIO ET DERMATITIS ARTEFACTA
6984B	ACNE EXCORIATA	ACNE EXCORIATA
6988A	PRURITUS SENILIS	PRURITUS SENILIS
6988X	PRURITUS ALIA DEFINI	PRURITUS ALIA DEFINITA
6989X	PRURITUS NUD	PRURITUS NUD
700	CLAVUS ET CALLOSITAS	KÄNSÄT JA SARVEISTUMAT
7000A	CLAVUS ET CALLOSITAS	CLAVUS ET CALLOSITAS
701	MUU IHON HYPER/ATROF	ALII CASUS HYPERTROPHICI ET ATROPHICI CUTIS
7010A	SCLERODERMA CIRCUMSC	SCLERODERMA CIRCUMSCRIPTUM
7010B	LICHEN SCLEROS/ATROF	LICHEN SCLEROSUS ET ATROPHICUS
7011A	KERATOD PAL/PLA ACQ	KERATODERMA PALMARE ET PLANTARE ACQUISITUM
7011B	ICHTHYOSIS ACQUISITA	ICHTHYOSIS ACQUISITA
7011C	HYPERKER FOLL  KYRLE	HYPERKERATOSIS FOLLICULAR. IN CUTEM PENETRANS KYRLE
7011D	KERATODE CLIMAC HAXT	KERATODERMA CLIMACTERICUM HAXTHAUSEN
7011E	TYLOSIS	TYLOSIS
7011F	ELASTOS PERFO SERPIG	ELASTOSIS PERFORANS SERPIGINOSA
7011G	POROKERATOSIS MIBELL	POROKERATOSIS MIBELLI
7011H	POROKERATOSIS ACTINI	POROKERATOSIS ACTINICA
7012A	ACANTHOS NIGRI ACQUI	ACANTHOSIS NIGRICANS ACQUISITA
7013A	STRIAE DISTENSAE	STRIAE DISTENSAE
7013B	STRIAE ALBAE	STRIAE ALBAE
7013X	STRIAE ATROPHICAE AL	STRIAE ATROPHICAE ALIAE
7014A	CICATRIX KELOIDES	CICATRIX KELOIDES
7014B	CICATRIX HYPERTROPHI	CICATRIX HYPERTROPHICA
7015A	ANOMAL AL TEL GRANUL	ANOMALIA ALIA TELAE GRANULOMATOSAE
7018A	ATROFIA CUTIS SENILI	ATROPHIA CUTIS SENILIS
7018B	ELASTOSIS SENILIS	ELASTOSIS SENILIS
7018C	ACRODERM ATROF CHRON	ACRODERMATITIS ATROPHICANS CHRONICA
7018D	FOLLICUL ULERYT RETI	FOLLICULITIS ULERYTHEMATOSA RETICULATA
7018E	ANETODERMA	ANETODERMA
7018F	CUTIS VERTICIS GYRAT	CUTIS VERTICIS GYRATA
7018G	PACHYDERMA	PACHYDERMA
7018X	ATROFIA CUTIS ALIA	ATROPHIA CUTIS ALIA DEFINITA
7019A	ATROPHODERMA	ATROPHODERMA
7019X	HYPER/ATROF CUTI NUD	HYPERTROPHIA SEU ATROPHIA CUTIS NUD
702	ALIAE DERMATOSES	MUUT DERMATOOSIT
7020A	KERATOSI SOLAR,SENIL	KERATOSIS SOLARIS (SENILIS)
7020B	LEUKOPLA LABIOR ORIS	LEUKOPLAKIA LABIORUM ORIS
7020C	CORNU CUTANEUM	CORNU CUTANEUM
7020X	DERMATOS PRAECANC AL	DERMATOSES PRAECANCEROSAE ALIAE
7028X	DERMATOSES ALIA DEFI	DERMATOSES ALIA DEFINITA
7029X	DERMATOSES NUD	DERMATOSIS NUD
703	MORBI UNGUIUM	KYNSIEN SAIRAUDET
7030A	UNGUIS INCARNATUS	UNGUIS INCARNATUS
7038A	DYSTROPHIA UNGUIUM	DYSTROPHIA UNGUIUM
7038B	HYPERTROPHIA UNGUIUM	HYPERTROPHIA UNGUIUM
7038C	ONYCHOGRYPHOSIS	ONYCHOGRYPHOSIS
7038D	ONYCHOLYSIS	ONYCHOLYSIS
7038E	LEUCONYCHIA	LEUCONYCHIA
7038F	KOILONYCHIA	KOILONYCHIA
7038G	ONYCHOMADESIS	ONYCHOMADESIS (FRAGILITAS UNGUIUM)
7038H	YELLOW NAILS	YELLOW NAILS (UNGUES FLAVES)
7038K	TWENTY NAIL SYNDROME	TWENTY NAIL SYNDROME
7038X	MORBUS UNGUIS ALIA	MORBUS UNGUIUM ALIA DEFINITA
7039X	MORBUS UNGUIS NUD	MORBUS UNGUIS NUD
704	MB PILORUM/FOLLICULO	MORBI PILORUM ET FOLLICULORUM
7040A	ALOPECIA ANDROGENETI	ALOPECIA ANDROGENETICA (SEBORRHOICA)
7040B	ALOPECIA AREATA	ALOPECIA AREATA
7040C	ALOPECIA AREATA TOTA	ALOPECIA AREATA TOTALIS
7040D	ALOPECIA UNIVERSALIS	ALOPECIA UNIVERSALIS
7040E	ALOPECIA MUCINOSA	ALOPECIA MUCINOSA
7040F	FOLLICULITIS DECALVA	FOLLICULITIS DECALVANS
7040G	PSEUDOPELADE BROCQ	PSEUDOPELADE BROCQ
7040H	HYPOTRICHOSIS	HYPOTRICHOSIS
7040X	ALOPECIA ALIA/NUD	ALOPECIA ALIA DEFINITA SEU NUD
7041A	HIRSUTISMUS	HIRSUTISMUS
7041B	HYPERTRICHOS LANUGIN	HYPERTRICHOSIS LANUGINOSA
7041C	HYPERTRICHOSIS NUD	HYPERTRICHOSIS NUD
7042A	PAPILLI ABNORMES	PAPILLI ABNORMES
7042B	FRAGILITAS CRINIUM	FRAGILITAS CRINIUM
7042C	TRICHORRHEXIS NODOSA	TRICHORRHEXIS NODOSA
7042X	ABNORM CRINI ALI/NUD	ABNORMALITAS CRINIUM ALIA DEFINITA SEU NUD
7043A	CANITIES PREMATURA	ENNENAIKAINEN HIUSTEN HARMAANTUMINEN
7043B	POLYOSIS	POLYOSIS
7043C	HETEROCHROMIA	HETEROCHROMIA
7048A	SEBORRHOEA CAPITIS	SEBORRHOEA CAPITIS
7048B	FOLLICULIT SEBORRHOI	FOLLICULITIS SEBORRHOICA
7048X	MB PILOR/FOLLICUL AL	MORBI PILORUM ET FOLLICULORUM ALIA DEFINITA
7049X	MB PILOR/FOLLICUL NU	MORBI PILORUM ET FOLLICULORUM NUD
705	HIKIRAUHASSAIRAUDET	HIKIRAUHASSAIRAUDET
7050A	ANHIDROSIS	ANHIDROSIS
7050B	HYPOHIDROSIS	HYPOHIDROSIS
7051A	MILIARIA CRYSTALLINA	MILIARIA CRYSTALLINA (PRICKLY HEAT)
7051B	MILIARIA RUBRA	MILIARIA RUBRA
7058A	POMPHOLYX	POMPHOLYX
7058B	MORBUS FOX-FORDYCE	MORBUS FOX-FORDYCE (ACNE APOCRINICA)
7058C	HIDRADENIT SUPPURATI	HIDRADENITIS SUPPURATIVA
7058D	BROMHIDROSIS	BROMHIDROSIS
7058E	CHROMHIDROSIS	CHROMHIDROSIS
7058X	MUU HIKIRAUHASSAIRAU	MUU HIKIRAUHASSAIRAUS
7059X	HIKIRAUHASSAIR NUD	MORBUS GLANDULARUM SUDORIFERARUM NUD
706	TALIRAUHASSAIRAUDET	MORBI GLANDULARUM SEBACEARUM
7060A	ACNE NECROTICA	ACNE NECROTICA
7061A	ACNE VULGARIS	ACNE VULGARIS
7061B	COMEDONES	COMEDONES
7061C	ACNE FULMINANS	ACNE FULMINANS
7061D	ACNE KELOIDES	ACNE KELOIDES (SCLEROTICANS NUCHAE)
7061E	ACNE CONGLOBATA	ACNE CONGLOBATA
7061F	ACNE MEDICAMENTOSA	ACNE MEDICAMENTOSA (STEROIDICA)
7061G	ACNE NEONATORUM	ACNE NEONATORUM
7061H	ACNE PROFESSIONALIS	ACNE PROFESSIONALIS
7061X	ACNE ALIA DEFINITA	ACNE ALIA DEFINITA
7062A	CYSTA SEBACEA,ATEROM	CYSTA SEBACEA (ATHEROMA)
7062B	MILIUM	MILIUM
7063A	SEBORRHOEA	SEBORRHOEA
7068X	MUU TALIRAUHASSAIRAU	MORBI GLANDULARUM SEBACEARUM ALI DEFINITA
7069X	TALIRAUHASSAIRAUS NU	MORBUS GLANDULARUM SEBACEARUM NUD
707	ULCUS CHRONICUM CUTI	IHON KROONISET HAAVAUMAT
7070A	MAKUUHAAVA	ULCUS DECUBITUS
7071A	ULCUS EXTREMIT INFER	ULCUS EXTREMITATIS INFERIORIS
7078A	ULCUS NEUROGENES	ULCUS NEUROGENES (TROPHICUM)
7078B	ULCUS PHAGEDEN PENIS	ULCUS PHAGEDENICUM PENIS
7078X	ULCUS CHRO CUTIS ALI	ULCUS CHRONICUM CUTIS LOCO ALIO DEFINITO
7079X	ULCUS CHRO CUTIS NUD	ULCUS CHRONICUS CUTIS NUD
708	URTICARIA	URTICARIA
7080A	URTICARIA AC ALLERGI	URTICARIA ACUTA ALLERGICA
7081A	URTICARIA AC IDIOPAT	URTICARIA ACUTA IDIOPATHICA
7082A	KYLMÄURTIKARIA	URTICARIA E FRIGORE
7082B	LÄMPÖURTIKARIA	URTICARIA E CALORE
7083A	DERMOGRAPHISMUS	DERMOGRAPHISMUS
7084A	URTICAR E VIBRATIONE	URTICARIA E VIBRATIONE
7085A	URTICARIA CHOLINERGI	URTICARIA CHOLINERGICA
7088A	URTICARIA CHRON NUD	URTICARIA CHRONICA NUD
7088B	URTIC RECURRENS NUD	URTICARIA RECURRENS NUD
7088X	URTICARIA ALIA DEFIN	URTICARIA ALIA DEFINITA
7089X	URTICARIA NUD	URTICARIA NUD
709	MB CUTIS/SUBCUTIS AL	MUUT IHON JA IHONALAISKUDOKSEN SAIRAUDET
7090A	CHLOASMA	CHLOASMA
7090B	CAFô-AU-LAIT-LÄISKÄT	CAFô-AU-LAIT -LÄISKÄT
7090C	EPHELIDES	EPHELIDES
7090D	LENTIGO SOLARIS	LENTIGO SOLARIS
7090E	LEUKODERMA	LEUKODERMA
7090F	VITILIGO	VITILIGO
7090G	MELANODERMA	MELANODERMA
7090H	TATOVATHIO	TATOVATHIO
7090X	DYSCHROMIA ALIA/NUD	DYSCHROMIA ALIA DEFINITA SEU NUD
7091A	ANGIOMA SERPIGINOSUM	ANGIOMA SERPIGINOSUM
7092A	CICATR/FIBROS CUT NU	CICATRIX ET FIBROSIS CUTIS NUD
7093A	CALCINOSIS CUTIS	CALCINOSIS CUTIS
7093B	HYPERPLA SEBAC SENIL	HYPERPLASIA SEBACEA SENILIS
7093C	MILIUM COLLOIDALE	MILIUM COLLOIDALE
7093X	ALI MB DEGENER CUTIS	ALII MORBI DEGENERATIONES CUTIS SEU NUD
7094A	VIERASESINEGRANULOOM	GRANULOMA CUTIS ET SUBCUTIS E CORPORE ALIENO
7098A	GRANULOMA ANNULARE	GRANULOMA ANNULARE
7098B	NECROBIOSIS LIPOIDIC	NECROBIOSIS LIPOIDICA
7098C	DERMATOSIS MENSTRUAL	DERMATOSIS MENSTRUALIS
7098X	MB CUTIS/SUBCUT ALIA	MORBI CUTIS ET SUBCUTIS ALIA DEFINITA
7099X	MB CUTIS/SUBCUT NUD	MORBUS CUTIS ET SUBCUTIS NUD
710	MB TEL CONJUNCT DIF	MORBI TELAE CONJUNCTIVAE DIFFUSI
7100A	LED	LUPUS ERYTHEMATOSUS DISSEMINATUS
7101A	SCLERODERMA	SCLERODERMA
7101B	SCLEROSIS PROGRESSIV	SCLEROSIS PROGRESSIVA
7101X	SCLEROSIS SYST ALIA	SCLEROSIS SYSTEMATICA ALIA
7102A	SYNDR SICCUM PRIM	SYNDROMA SICCUM PRIMARIUM
7102B	SYNDR SICCUM SEC	SYNDROMA SICCUM SECUNDARIUM
7103A	DERMATOMYOSIT JUVEN	DERMATOMYOSITIS JUVENILIS
7103B	DERMATOMYOSIT ADULT	DERMATOMYOSITIS ADULTORUM
7104A	POLYMYOSITIS	POLYMYOSITIS
7108X	MB TEL CONJ DIFF AL	MORBUS TELAE CONJUNCTIVAE DIFFUSA ALIA
7109X	MB TEL CONJ DIFF NUD	MORBUS TELAE CONJUNCTIVAE DIFFUSA NUD
711	ARTROPATHIA INFECT	ARTROPATHIA INFECTIOSA
7110A	ARTHRIT PURUL,OLKAN	ARTHRITIS PURULENTA, OLKANIVEL
7110B	ARTHRIT PURUL,KYYNÄR	ARTHRITIS PURULENTA, KYYNÄRNIVEL
7110C	ARTHRIT PURUL,RANNE	ARTHRITIS PURULENTA, RANNE
7110D	ARTHRIT PURUL,KÄSI	ARTHRITIS PURULENTA, KÄSI
7110E	ARTHRIT PURUL,LONKKA	ARTHRITIS PURULENTA, LONKKANIVEL
7110F	ARTHRIT PURUL,POLVI	ARTHRITIS PURULENTA, POLVI
7110G	ARTHRIT PURUL,NILKKA	ARTHRITIS PURULENTA, NILKKA
7110H	ARTHRIT PURUL,JALKAT	ARTHRITIS PURULENTA, JALKATERÄ
7110K	ARTHRIT PURUL,M NIVE	ARTHRITIS PURULENTA, MUU NIVEL
7110L	ARTHRIT PURUL,US NIV	ARTHRITIS PURULENTA, USEAT NIVELET
7110X	ARTHRIT PURUL,MÄÄRIT	ARTHRITIS PURULENTA, MÄÄRITTELEMÄTÖN
7111A	UROARTHRIT,OLKANIVEL	UROARTHRITIS, OLKANIVEL
7111B	UROARTHRIT,KYYNÄRNIV	UROARTHRITIS, KYYNÄRNIVEL
7111C	UROARTHRIT,RANNE	UROARTHRITIS, RANNE
7111D	UROARTHRIT,KÄSI	UROARTHRITIS, KÄSI
7111E	UROARTHRIT,LONKKANIV	UROARTHRITIS, LONKKANIVEL
7111F	UROARTHRIT,POLVI	UROARTHRITIS, POLVI
7111G	UROARTHRIT,NILKKA	UROARTHRITIS, NILKKA
7111H	UROARTHRIT,JALKATERÄ	UROARTHRITIS, JALKATERÄ
7111K	UROARTHRIT,MUU NIVEL	UROARTHRITIS, MUU NIVEL
7111L	UROARTHRIT,USEAT NIV	UROARTHRITIS, USEAT NIVELET
7111X	UROARTHRIT,MÄÄRITT	UROARTHRITIS, MÄÄRITTELEMÄTÖN
7113A	ENTEROARTHRIT,OLKAN	ENTEROARTHRITIS, OLKANIVEL
7113B	ENTEROARTHRIT,KYYNÄR	ENTEROARTHRITIS, KYYNÄRNIVEL
7113C	ENTEROARTHRIT,RANNE	ENTEROARTHRITIS, RANNE
7113D	ENTEROARTHRIT,KÄSI	ENTEROARTHRITIS, KÄSI
7113E	ENTEROARTHRIT,LONKKA	ENTEROARTHRITIS, LONKKANIVEL
7113F	ENTEROARTHRIT,POLVI	ENTEROARTHRITIS, POLVI
7113G	ENTEROARTHRIT,NILKKA	ENTEROARTHRITIS, NILKKA
7113H	ENTEROARTHRIT,JALKAT	ENTEROARTHRITIS, JALKATERÄ
7113K	ENTEROARTHRIT,M NIV	ENTEROARTHRITIS, MUU NIVEL
7113L	ENTEROARTHRIT,US NIV	ENTEROARTHRITIS, USEAT NIVELET
7113X	ENTEROARTHRIT,MÄÄRIT	ENTEROARTHRITIS, MÄÄRITTELEMÄTÖN
7115A	ARTH VIROS,OLKANIVEL	ARTHRITIS (POSTINFECTIOSA) VIROSA, OLKANIVEL
7115B	ARTH VIROS,KYYNÄRNIV	ARTHRITIS (POSTINFECTIOSA) VIROSA, KYYNÄRNIVEL
7115C	ARTH VIROS,RANNE	ARTHRITIS (POSTINFECTIOSA) VIROSA, RANNE
7115D	ARTH VIROS,KÄSI	ARTHRITIS (POSTINFECTIOSA) VIROSA, KÄSI
7115E	ARTH VIROS,LONKKANIV	ARTHRITIS (POSTINFECTIOSA) VIROSA, LONKKANIVEL
7115F	ARTH VIROS,POLVI	ARTHRITIS (POSTINFECTIOSA) VIROSA, POLVI
7115G	ARTH VIROS,NILKKA	ARTHRITIS (POSTINFECTIOSA) VIROSA, NILKKA
7115H	ARTH VIROS,JALKATERÄ	ARTHRITIS (POSTINFECTIOSA) VIROSA, JALKATERÄ
7115K	ARTH VIROS,MUU NIVEL	ARTHRITIS (POSTINFECTIOSA) VIROSA, MUU NIVEL
7115L	ARTH VIROS,USEAT NIV	ARTHRITIS (POSTINFECTIOSA) VIROSA, USEAT NIVELET
7115X	ARTH VIROS,MÄÄRITTEL	ARTHRITIS (POSTINFECTIOSA) VIROSA, MÄÄRITTELEMÄTÖN
7118A	ART POSTINF A,OLKAN	ARTHRITIS POSTINFECTIOSA ALIA,  OLKANIVEL
7118B	ART POSTINF A,KYYNÄR	ARTHRITIS POSTINFECTIOSA ALIA,  KYYNÄRNIVEL
7118C	ART POSTINF A,RANNE	ARTHRITIS POSTINFECTIOSA ALIA,  RANNE
7118D	ART POSTINF A,KÄSI	ARTHRITIS POSTINFECTIOSA ALIA,  KÄSI
7118E	ART POSTINF A,LONKKA	ARTHRITIS POSTINFECTIOSA ALIA,  LONKKANIVEL
7118F	ART POSTINF A,POLVI	ARTHRITIS POSTINFECTIOSA ALIA,  POLVI
7118G	ART POSTINF A,NILKKA	ARTHRITIS POSTINFECTIOSA ALIA,  NILKKA
7118H	ART POSTINF A,JALKAT	ARTHRITIS POSTINFECTIOSA ALIA,  JALKATERÄ
7118K	ART POSTINF A,MU NIV	ARTHRITIS POSTINFECTIOSA ALIA,  MUU NIVEL
7118L	ART POSTINF A,US NIV	ARTHRITIS POSTINFECTIOSA ALIA,  USEAT NIVELET
7118X	ART POSTINF A,MÄÄRIT	ARTHRITIS POSTINFECTIOSA ALIA,  MÄÄRITTELEMÄTÖN
7119A	ART INF NUD,OLKANIV	ARTHRITIS INFECTIOSA NUD,OLKANIVEL
7119B	ART INF NUD,KYYNÄRN	ARTHRITIS INFECTIOSA NUD,KYYNÄRNIVEL
7119C	ART INF NUD,RANNE	ARTHRITIS INFECTIOSA NUD,RANNE
7119D	ART INF NUD,KÄSI	ARTHRITIS INFECTIOSA NUD,KÄSI
7119E	ART INF NUD,LONKKAN	ARTHRITIS INFECTIOSA NUD,LONKKANIVEL
7119F	ART INF NUD,POLVI	ARTHRITIS INFECTIOSA NUD,POLVI
7119G	ART INF NUD,NILKKA	ARTHRITIS INFECTIOSA NUD,NILKKA
7119H	ART INF NUD,JALKATER	ARTHRITIS INFECTIOSA NUD,JALKATERÄ
7119K	ART INF NUD,MUU NIV	ARTHRITIS INFECTIOSA NUD,MUU NIVEL
7119L	ART INF NUD,US NIV	ARTHRITIS INFECTIOSA NUD,USEAT NIVELET
7119X	ART INF NUD,MÄÄRITT	ARTHRITIS INFECTIOSA NUD,MÄÄRITTELEMÄTÖN
712	ARTHROPAT CRYSTALL	ARTHROPATHIA CRYSTALLINA
7121A	KALSFOSFKONDROKALSIN	KALSIUMFOSFAATTIKONDROKALSINOOSI
7122A	PYROFOSFKONDROKALSIN	PYROFOSFAATTIKONDROKALSINOOSI
7123X	MUU KONDROKALSINOOSI	MUU KONDROKALSINOOSI
7128X	ARTHROP CRYST ALIA	ARTHROPATHIA CRYSTALLINA ALIA
7129X	ARTHROP CRYST NUD	ARTHROPATHIA CRYSTALLINA NUD
713	ARTHROP REACT ALIA	ARTHROPATHIA REACTIVA ALIA
7130A	ARTROP REAC MB ENDOC	ARTHROPATHIA REACTIVA CUM MORBO SYST ENDOCR/METAB
7131A	ARTROP REAC MG GI	ARTHROPATHIA REACT CUM MORBO NONINF SYST GASTROINT
7132A	ARTROP REAC MB SANG	ARTHROPATHIA REACTIVA E MORBO SANGUINIS
7135A	ARTROP REAC MB NERV	ARTHROPATHIA REACTIVA CUM MORBO SYST NERVOSI
7138X	ARTROP REACT ALIA	ARTHROPATHIA REACTIVA ALIA
714	ARTHRITIS RHEUMATOID	ARTHRITIS RHEUMATOIDES
7140A	ARTHR REUMAT SEROPOS	ARTHRITIS RHEUMATOIDES SEROPOSITIVA
7140B	ARTHR REUMAT SERONEG	ARTHRITIS RHEUMATOIDES SERONEGATIVA
7141A	SYNDROMA FELTY	SYNDROMA FELTY
7142X	ARTHR REUM EXTRA-ART	ARTHRITIS RHEUMATOIDES EXTRA-ARTICULARIS
7143A	MB STILL	MB STILL
7143B	POLYART JUV SEROPOS	POLYARTHRITIS JUVENILIS SEROPOSITIVA
7143C	POLYART JUV SERONEG	POLYARTHRITIS JUVENILIS SERONEGATIVA
7143D	OLIGARTHRITIS JUVEN	OLIGARTHRITIS JUVENILIS
7143X	POLYART JUVENIL NUD	POLYARTHRITIS JUVENILIS NUD
7148X	ARTR RHEUMAT ALIA	ARTHRITIS RHEUMATOIDES ALIA
715	OSTEOARTHROSIS/SIMIL	OSTEOARTHROSIS ET MORBI SIMILES
7151A	OSTARTR PRIM,OLKANIV	OSTEOARTHROSIS PRIMARIA, OLKANIVEL
7151B	OSTARTR PRIM,KYYNÄRN	OSTEOARTHROSIS PRIMARIA, KYYNÄRNIVEL
7151C	OSTARTR PRIM,RANNE	OSTEOARTHROSIS PRIMARIA, RANNE
7151D	OSTARTR PRIM,KÄSI	OSTEOARTHROSIS PRIMARIA, KÄSI
7151E	OSTARTR PRIM,LONKKAN	OSTEOARTHROSIS PRIMARIA, LONKKANIVEL
7151F	OSTARTR PRIM,POLVI	OSTEOARTHROSIS PRIMARIA, POLVI
7151G	OSTARTR PRIM,NILKKA	OSTEOARTHROSIS PRIMARIA, NILKKA
7151H	OSTARTR PRIM,JALKAT	OSTEOARTHROSIS PRIMARIA, JALKATERÄ
7151K	OSTARTR PRIM,MUU NIV	OSTEOARTHROSIS PRIMARIA, MUU NIVEL
7151L	OSTARTR PRIM,US NIV	OSTEOARTHROSIS PRIMARIA, USEAT NIVELET
7151X	OSTARTR PRIM,MÄÄRIT	OSTEOARTHROSIS PRIMARIA, MÄÄRITTELEMÄTÖN
7152A	OSTARTR SEC,OLKANIV	OSTEORTHROSIS SECUNDARIA,OLKANIVEL
7152B	OSTARTR SEC,KYYNÄRN	OSTEORTHROSIS SECUNDARIA,KYYNÄRNIVEL
7152C	OSTARTR SEC,RANNE	OSTEORTHROSIS SECUNDARIA,RANNE
7152D	OSTARTR SEC,KÄSI	OSTEORTHROSIS SECUNDARIA,KÄSI
7152E	OSTARTR SEC,LONKKAN	OSTEORTHROSIS SECUNDARIA,LONKKANIVEL
7152F	OSTARTR SEC,POLVI	OSTEORTHROSIS SECUNDARIA,POLVI
7152G	OSTARTR SEC,NILKKA	OSTEORTHROSIS SECUNDARIA,NILKKA
7152H	OSTARTR SEC,JALKAT	OSTEORTHROSIS SECUNDARIA,JALKATERÄ
7152K	OSTARTR SEC,MUU NIV	OSTEORTHROSIS SECUNDARIA,MUU NIVEL
7152L	OSTARTR SEC,US NIV	OSTEORTHROSIS SECUNDARIA,USEAT NIVELET
7152X	OSTARTR SEC,MÄÄRITT	OSTEORTHROSIS SECUNDARIA,MÄÄRITTELEMÄTÖN
716	ARTHROPATH NON DEF	ARTHROPATHIAE NON DEFINITAE
7164A	ARTHROPAT TRANSITOR	ARTHROPATHIA TRANSITORIA
7165A	POLYARTHRITIS NUD	POLYARTHRITIS NUD
7166A	MONOARTHRITIS NUD	MONOARTHRITIS NUD
7168A	OLIGARTHRITIS NUD	OLIGARTHRITIS NUD
7169X	ARTHROPATHIA NUD	ARTHROPATHIA NUD
717	MB MENISC/LIG/AL GEN	MORBI MENISCI, LIGAMENTORUM ET ALII GENUS
7170A	LAESIO MENISCI MED	LAESIO MENISCI MEDIALIS
7174A	LAESIO MENISCI LATER	LAESIO MENISCI LATERALIS
7175A	LAESIO MENISCORUM AL	LAESIO MENISCORUM ALIA
7176A	MUS ARTICULAR GENUS	MUS ARTICULARIS GENUS
7177A	CHONDROMALAC PATELLA	CHONDROMALACIA PATELLAE
7178A	LAES LIG COLLAT MED	LAESIO LIGAMENTI COLLATERALIS MEDIALIS
7178B	LAES LIG COLLAT LAT	LAESIO LIGAMENTI COLLATERALIS LATERALIS
7178C	LAES LIG CRUCIATI	LAESIO LIGAMENTI CRUCIATI
7178D	LAES LIG VARIORUM	LAESIO LIGAMENTORUM VARIORUM
7178E	PLICA SYNOVIALIS	PLICA SYNOVIALIS
7178X	MB MEN/LIG/AL GEN AL	MB MENISCI, LIGAMENTI ET ALII GENUS ALIA DEFINITA
7179X	MB MEN/LIG AL GEN NU	MORBUS MENISCI ET LIGAMENTORUM ALIA GENUS NUD
718	AL MB ART/LIG/CARTIL	ALII MORBI ARTICULI, LIGAMENTI ET CARTILAGINIS
7180A	NIVELRUS SAI,OLKANIV	NIVELRUSTON SAIRAUS,OLKANIVEL
7180B	NIVELRUS SAI,KYYNÄRN	NIVELRUSTON SAIRAUS,KYYNÄRNIVEL
7180C	NIVELRUS SAI,RANNE	NIVELRUSTON SAIRAUS,RANNE
7180D	NIVELRUS SAI,KÄSI	NIVELRUSTON SAIRAUS,KÄSI
7180E	NIVELRUS SAI,LONKKAN	NIVELRUSTON SAIRAUS,LONKKANIVEL
7180F	NIVELRUS SAI,POLVI	NIVELRUSTON SAIRAUS,POLVI
7180G	NIVELRUS SAI,NILKKA	NIVELRUSTON SAIRAUS,NILKKA
7180H	NIVELRUS SAI,JALKAT	NIVELRUSTON SAIRAUS,JALKATERÄ
7180K	NIVELRUS SAI,MUU NIV	NIVELRUSTON SAIRAUS,MUU NIVEL
7180L	NIVELRUS SAI,US NIV	NIVELRUSTON SAIRAUS,USEAT NIVELET
7180X	NIVELRUS SAI,MÄÄRIT	NIVELRUSTON SAIRAUS,MÄÄRITTELEMÄTÖN
