ICD9,ICD9LYH,ICD9TXT,ICD9CM,concept_name,ICD9CD_match_level,code_matched_to,Wolfbane_name,match_type,suspected_mistake
6283A,STER/INF ORIG UTE PR,STERILITAS ET INFERTILITAS EX ORIGINE UTERI PRIM,628.3,"Infertility, female, of uterine origin",4_digit_level,628.3,"Infertility, female, Of uterine origin",parent_match,0
6283B,STER/INF ORIG UTE SE,STERILITAS ET INFERTILITAS EX ORIGINE UTERI SEC,628.3,"Infertility, female, of uterine origin",4_digit_level,628.3,"Infertility, female, Of uterine origin",parent_match,0
6284A,STER ORIG CER/VAG PR,STERIL ET INFERTIL EX ORIG CERV UTERI SEU VAGIN PRI,628.4,"Infertility, female, of cervical or vaginal origin",4_digit_level,628.4,"Infertility, female, Of cervical or vaginal origin",parent_match,0
6284B,STER ORIG CER/VAG SE,STERIL ET INFERTIL EX ORIG CERV UTERI SEU VAGIN SEC,628.4,"Infertility, female, of cervical or vaginal origin",4_digit_level,628.4,"Infertility, female, Of cervical or vaginal origin",parent_match,0
6288A,STER/INF MUL AL PRIM,STERILITAS ET INFERTILITAS MULIERIS ALIA PRIM,628.8,"Infertility, female, of other specified origin",4_digit_level,628.8,"Infertility, female, Of other specified origin",parent_match,0
6288B,STER/INF MUL AL SEC,STERILITAS ET INFERTILITAS MULIERIS ALIA SEC,628.8,"Infertility, female, of other specified origin",4_digit_level,628.8,"Infertility, female, Of other specified origin",parent_match,0
6289A,STER/INF MUL NUD PR,STERILITAS ET INFERTILITAS MULIERIS NUD PRIM,628.9,"Infertility, female, of unspecified origin",4_digit_level,628.9,"Infertility, female, Of unspecified origin",parent_match,0
6289B,STER/INF MUL NUD SEC,STERILITAS ET INFERTILITAS MULIERIS NUD SEC,628.9,"Infertility, female, of unspecified origin",4_digit_level,628.9,"Infertility, female, Of unspecified origin",parent_match,0
629,ALII MORBI GENIT MUL,ALII MORBI GENITALIUM MULIERIS,629,Other disorders of female genital organs,4_digit_level,629,Other disorders of female genital organs,full_match,0
6299X,ALII MORBI GENIT MUL,ALII MORBI GENITALIUM MULIERIS,629.9,Unspecified disorder of female genital organs,4_digit_level,629.9,"Other disorders of female genital organs, Unspecified disorder of female genital organs",unique_parent_match,0
630,MOLA HYDATIDOSA,MOLA HYDATIDOSA,630,Hydatidiform mole,4_digit_level,630,Hydatidiform mole,full_match,0
6300A,MOLA HYDATIDOSA,MOLA HYDATIDOSA,630,Hydatidiform mole,3_digit_level,630,Hydatidiform mole,grandparent_match,0
631,OVUM ABORTIVUM,OVUM ABORTIVUM,631,Other abnormal product of conception,4_digit_level,631,Other abnormal product of conception,full_match,0
6310A,OVUM ABORTIVUM,OVUM ABORTIVUM,631.0,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy,4_digit_level,631,Other abnormal product of conception,grandparent_match,0
632,ABORTUS INHIBITUS,ABORTUS INHIBITUS,632,Missed abortion,4_digit_level,632,Missed abortion,full_match,0
6320A,ABORTUS INHIBITUS,"ABORTUS INHIBITUS (""MISSED ABORTION"")",632,Missed abortion,3_digit_level,632,Missed abortion,grandparent_match,0
633,GRAVIDITAS ECTOPICA,GRAVIDITAS ECTOPICA,633,Ectopic pregnancy,4_digit_level,633,Ectopic pregnancy,full_match,0
6330A,GRAV ECT CAVI ABDOM,GRAVIDITAS ECTOPICA (EXTRAUTERINA) CAVI ABDOMINIS,633.0,Abdominal pregnancy,4_digit_level,633.0,"Ectopic pregnancy, Abdominal pregnancy",unique_parent_match,0
6331A,GRAV ECT TUBARIA,GRAVIDITAS ECTOPICA (EXTRAUTERINA) TUBARIA,633.1,Tubal pregnancy,4_digit_level,633.1,"Ectopic pregnancy, Tubal pregnancy",unique_parent_match,0
6332A,GRAV ECT OVARII,GRAVIDITAS ECTOPICA (EXTRAUTERINA) OVARII,633.2,Ovarian pregnancy,4_digit_level,633.2,"Ectopic pregnancy, Ovarian pregnancy",unique_parent_match,0
6338X,GRAVIDITAS ECT ALIA,GRAVIDITAS ECTOPICA ALIA DEFINITA,633.8,Other ectopic pregnancy,4_digit_level,633.8,"Ectopic pregnancy, Other ectopic pregnancy",unique_parent_match,0
6339X,GRAVIDITAS ECT NUD,GRAVIDITAS ECTOPICA NUD,633.9,Unspecified ectopic pregnancy,4_digit_level,633.9,"Ectopic pregnancy, Unspecified ectopic pregnancy",unique_parent_match,0
634,ABORTUS SPONTANEUS,ABORTUS SPONTANEUS,634,Spontaneous abortion,4_digit_level,634,Spontaneous abortion,full_match,0
6340A,ABORT SPONT SIN COMP,ABORTUS SPONTANEUS SINE COMPLICATIONE,634.0,Spontaneous abortion complicated by genital tract and pelvic infection,4_digit_level,634.0,"Spontaneous abortion, Complicated by genital tract and pelvic infection",unique_parent_match,0
6342A,ABORT SPONT CUM INF,ABORTUS SPONTANEUS CUM INFECTIONE,634.2,Spontaneous abortion complicated by damage to pelvic organs or tissues,4_digit_level,634.2,"Spontaneous abortion, Complicated by damage to pelvic organs or tissues",unique_parent_match,0
6348X,ABORT SPONT COMPL AL,ABORTUS SPONTANEUS CUM COMPLICATIONE ALIA,634.8,Spontaneous abortion with unspecified complication,4_digit_level,634.8,"Spontaneous abortion, With unspecified complication",unique_parent_match,0
6349X,ABORTUS SPONTAN NUD,ABORTUS SPONTANEUS NUD,634.9,Spontaneous abortion without mention of complication,4_digit_level,634.9,"Spontaneous abortion, Without mention of complication",unique_parent_match,0
635,ABORTUS PROV LEGALIS,ABORTUS PROVOCATUS LEGALIS,635,Legally induced abortion,4_digit_level,635,Legally induced abortion,full_match,0
6350A,"ABORT LEG-KOM,ÄID LÄ","ABORTUS PROV LEGAL SINE COMPL,LÄÄKETIET SYYT (ÄID)",635.0,Legally induced abortion complicated by genital tract and pelvic infection,4_digit_level,635.0,"Legally induced abortion, Complicated by genital tract and pelvic infection",parent_match,0
6350B,"ABORT LEG-KOM,SIK LÄ","ABORTUS PROV LEGAL SINE COMPL,LÄÄKETIET SYYT (SIK)",635.0,Legally induced abortion complicated by genital tract and pelvic infection,4_digit_level,635.0,"Legally induced abortion, Complicated by genital tract and pelvic infection",parent_match,0
6350C,"ABORT LEG-KOM,SOS","ABORTUS PROV LEGAL SINE COMPL,SOSIAALISET SYYT",635.0,Legally induced abortion complicated by genital tract and pelvic infection,4_digit_level,635.0,"Legally induced abortion, Complicated by genital tract and pelvic infection",parent_match,0
6350D,"ABORT LEG-KOM,ÄI IKÄ","ABORT PROV LEGAL SINE COMPL,ÄIDIN IKÄ <17 V TAI >40",635.0,Legally induced abortion complicated by genital tract and pelvic infection,4_digit_level,635.0,"Legally induced abortion, Complicated by genital tract and pelvic infection",parent_match,0
6350X,"ABORT LEG-KOM,MUU","ABORTUS PROV LEGAL SINE COMPL,MUUT LAILLISET SYYT",635.0,Legally induced abortion complicated by genital tract and pelvic infection,4_digit_level,635.0,"Legally induced abortion, Complicated by genital tract and pelvic infection",parent_match,0
6351A,"ABORT LEG+INF,ÄID LÄ","ABORTUS PROV LEGAL CUM INFECT,LÄÄKETIET SYYT (ÄID)",635.1,Legally induced abortion complicated by delayed or excessive hemorrhage,4_digit_level,635.1,"Legally induced abortion, Complicated by delayed or excessive haemorrhage",parent_match,0
6351B,"ABORT LEG+INF,SIK LÄ","ABORTUS PROV LEGAL CUM INFECT,LÄÄKETIET SYYT (SIK)",635.1,Legally induced abortion complicated by delayed or excessive hemorrhage,4_digit_level,635.1,"Legally induced abortion, Complicated by delayed or excessive haemorrhage",parent_match,0
6351C,"ABORT LEG+INF,SOS","ABORTUS PROV LEGAL CUM INFECT,SOSIAALISET SYYT",635.1,Legally induced abortion complicated by delayed or excessive hemorrhage,4_digit_level,635.1,"Legally induced abortion, Complicated by delayed or excessive haemorrhage",parent_match,0
6351D,"ABORT LEG+INF,ÄI IKÄ","ABORTUS PROV LEGAL CUM INF,ÄIDIN IKÄ <17 V TAI>40",635.1,Legally induced abortion complicated by delayed or excessive hemorrhage,4_digit_level,635.1,"Legally induced abortion, Complicated by delayed or excessive haemorrhage",parent_match,0
6351X,"ABORT LEG+INF,MUU","ABORTUS PROV LEGAL CUM INFECT,MUUT LAILLISET SYYT",635.1,Legally induced abortion complicated by delayed or excessive hemorrhage,4_digit_level,635.1,"Legally induced abortion, Complicated by delayed or excessive haemorrhage",parent_match,0
6358A,"ABOR LEG+KO A,ÄID LÄ","ABORT PROV LEGAL CUM COMPL AL,LÄÄKETIET SYYT (ÄID)",635.8,Legally induced abortion with unspecified complication,4_digit_level,635.8,"Legally induced abortion, With unspecified complication",parent_match,0
6358B,"ABOR LEG+KO A,SIK LÄ","ABORT PROV LEGAL CUM COMPL AL,LÄÄKETIET SYYT (SIK)",635.8,Legally induced abortion with unspecified complication,4_digit_level,635.8,"Legally induced abortion, With unspecified complication",parent_match,0
6358C,"ABOR LEG+KO A,SOS","ABORT PROV LEGAL CUM COMPL AL,SOSIAALISET SYYT",635.8,Legally induced abortion with unspecified complication,4_digit_level,635.8,"Legally induced abortion, With unspecified complication",parent_match,0
6358D,"ABOR LEG+KO A,ÄI IKÄ","ABORT PROV LEGAL CUM COMPL AL,ÄIDIN IKÄ <17V TAI>40",635.8,Legally induced abortion with unspecified complication,4_digit_level,635.8,"Legally induced abortion, With unspecified complication",parent_match,0
6358X,"ABOR LEG+KO A,MUU","ABORT PROV LEGAL CUM COMPL AL,MUUT LAILLISET SYYT",635.8,Legally induced abortion with unspecified complication,4_digit_level,635.8,"Legally induced abortion, With unspecified complication",parent_match,0
636,ABORTUS PROVOCAT AL,ABORTUS PROVOCATUS ALIUS,636,Illegally induced abortion,4_digit_level,636,Illegally induced abortion,full_match,0
6360A,ABORT PROV AL -COMPL,ABORTUS PROVOCATUS ALIUS SINE COMPLICATIONE,636.0,Illegally induced abortion complicated by genital tract and pelvic infection,4_digit_level,636.0,"Illegally induced abortion, Complicated by genital tract and pelvic infection",unique_parent_match,0
6361A,ABORT PROV AL +INFEC,ABORTUS PROVOCATUS ALIUS CUM INFECTIONE,636.1,Illegally induced abortion complicated by delayed or excessive hemorrhage,4_digit_level,636.1,"Illegally induced abortion, Complicated by delayed or excessive haemorrhage",unique_parent_match,0
6368X,ABORT PROV AL +COM A,ABORTUS PROVOCATUS ALIUS CUM COMPLICATIONE ALIA,636.8,Illegally induced abortion with unspecified complication,4_digit_level,636.8,"Illegally induced abortion, With unspecified complication",unique_parent_match,0
637,RESIDUA POST ABORTUM,RESIDUA POST ABORTUM,637,Unspecified abortion,4_digit_level,637,Unspecified abortion,full_match,0
6370A,RESIDUA POST ABORTUM,RESIDUA POST ABORTUM,637.0,Unspecified abortion complicated by genital tract and pelvic infection,4_digit_level,637.0,"Unspecified abortion, Complicated by genital tract and pelvic infection",unique_parent_match,0
638,EPÄON RASK KESKEYTYS,EPÄNNISTUNUT RASKAUDEN KESKEYTYS,638,Failed attempted abortion,4_digit_level,638,Failed attempted abortion,full_match,0
6380A,EPÄON RAS KESK -KOMP,EPÄONNISTUNUT RASKAUDEN KESKEYTYS ILMAN KOMPLIKA,638.0,Failed attempted abortion complicated by genital tract and pelvic infection,4_digit_level,638.0,"Failed attempted abortion, Complicated by genital tract and pelvic infection",unique_parent_match,0
6381A,EPÄON RAS KESK+INFEK,EPÄONNISTUNUT RASKAUDEN KESKEYTYS TULEHDUKSINEEN,638.1,Failed attempted abortion complicated by delayed or excessive hemorrhage,4_digit_level,638.1,"Failed attempted abortion, Complicated by delayed or excessive haemorrhage",unique_parent_match,0
6388X,EPÄON RAS KES+MUU KO,EPÄONNISTUNUT RASKAUDEN KESKEYTYS MUINE KOOMPLIK,638.8,Failed attempted abortion with unspecified complication,4_digit_level,638.8,"Failed attempted abortion, With unspecified complication",unique_parent_match,0
639,COMP POST ABOR/GR EC,COMPLICATIONES POST ABORTUM SEU GRAVIDITATEM ECT,639,Complications following abortion or ectopic and molar pregnancies,4_digit_level,639,Complications following abortion and ectopic and molar pregnancies,full_match,0
6391A,INF POST ABOR/GR ECT,INFECTIO POST ABORTUM SEU GRAVIDITATEM ECTOPICAM,639.1,Delayed or excessive hemorrhage following abortion or ectopic and molar pregnancies,4_digit_level,639.1,"Complications following abortion and ectopic and molar pregnancies, Delayed or excessive haemorrhage",unique_parent_match,0
6392A,HEMOR POSTABOR/GR EC,HAEMORRHAGIA POST ABORTUM SEU GRAVIDITATEM ECTOPIC,639.2,Damage to pelvic organs and tissues following abortion or ectopic and molar pregnancies,4_digit_level,639.2,"Complications following abortion and ectopic and molar pregnancies, Damage to pelvic organs and tissues",unique_parent_match,0
6398X,COM A POSTABOR/GR EC,COMPLICATIO ALIA POST ABORTUM SEU GRAVIDITATEM ECT,639.8,Other specified complications following abortion or ectopic and molar pregnancy,4_digit_level,639.8,"Complications following abortion and ectopic and molar pregnancies, Other specified complications following abortion or ectopic and molar pregnancy",unique_parent_match,0
640,HEMOR EX UTER GRAVID,HAEMORRHAGIA EX UTERO GRAVIDARUM,640,Hemorrhage in early pregnancy,4_digit_level,640,Haemorrhage in early pregnancy,full_match,0
6400A,ABORTUS IMMINENS,ABORTUS IMMINENS,640.0,Threatened abortion,4_digit_level,640.0,"Haemorrhage in early pregnancy, Threatened abortion",unique_parent_match,0
6408X,HEMOR EX UTER GRAV A,HAEMORRHAGIA EX UTERO GRAVIDARUM ALIA DEFINITA,640.8,Other specified hemorrhage in early pregnancy,4_digit_level,640.8,"Haemorrhage in early pregnancy, Other specified haemorrhage in early pregnancy",unique_parent_match,0
6409X,HEMOR EX UTE GRAV NU,HAEMORHAGIA EX UTERO GRAVIDARUM NUD,640.9,Unspecified hemorrhage in early pregnancy,4_digit_level,640.9,"Haemorrhage in early pregnancy, Unspecified haemorrhage in early pregnancy",unique_parent_match,0
641,PLAC PREV/ABL/AL HEM,"PLAC PRAE, ABL PLAC ANT TEMP ET AL HAEMOR ANTE PART",641,"Antepartum hemorrhage, abruptio placentae, and placenta previa",4_digit_level,641,"Antepartum haemorrhage, abruptio placentae and placenta praevia",full_match,0
6410A,"PLAC PRE-HEMOR,E SYN","PLACENTA PRAEVIA SINE HAEMORRH,HOITOJ ENNEN SYNN",641.0,Placenta previa without hemorrhage,4_digit_level,641.0,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Placenta praevia without haemorrhage",parent_match,0
6410B,"PLAC PRE-HEMOR,SYN P","PLACENTA PRAEVIA SINE HAEMORRHAGIA,SYNN PÄÄT HOITOJ",641.0,Placenta previa without hemorrhage,4_digit_level,641.0,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Placenta praevia without haemorrhage",parent_match,0
6411A,"PLAC PRE+HEMOR,E SYN","PLACENTA PRAEVIA CUM HAEMORRHAGIA,HOITOJ ENNEN SYNN",641.1,Hemorrhage from placenta previa,4_digit_level,641.1,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Haemorrhage from placenta praevia",parent_match,0
6411B,"PLAC PRE+HEMOR,SYN P","PLACENTA PRAEVIA CUM HAEMORRHAGIA,SYNN PÄÄTT HOITOJ",641.1,Hemorrhage from placenta previa,4_digit_level,641.1,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Haemorrhage from placenta praevia",parent_match,0
6412A,"ABL PLAC ANTET,E SYN","ABLATIO PLACENTAE ANTETEMPUS,HOITOJAKSO ENNEN SYNN",641.2,Premature separation of placenta,4_digit_level,641.2,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Premature separation of placenta",parent_match,0
6412B,"ABL PLAC ANTET,SYN P","ABLATIO PLACENTAE ANTETEMPUS,SYNN PÄÄTT HOITOJAKSO",641.2,Premature separation of placenta,4_digit_level,641.2,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Premature separation of placenta",parent_match,0
6413A,"HEM GRA DE COA,E SYN","HAEMOR IN GRAV E DEF COAGUL,HOITOJAKSO ENNEN SYNN",641.3,Antepartum hemorrhage associated with coagulation defects,4_digit_level,641.3,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Antepartum haemorrhage associated with coagulation defects",parent_match,0
6413B,"HEM GRA DE COA,SYN P","HAEMOR IN GRAV E DEF COAGUL,SYNN PÄÄTT HOITOJAKSO",641.3,Antepartum hemorrhage associated with coagulation defects,4_digit_level,641.3,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Antepartum haemorrhage associated with coagulation defects",parent_match,0
6418A,"AL HEMOR GRAV,E SYN","ALIA HAEMORRHAGIA IN GRAVIDITATE,HOITOJ ENNEN SYNN",641.8,Other antepartum hemorrhage,4_digit_level,641.8,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Other antepartum haemorrhage",parent_match,0
6418B,"AL HEMOR GRAV,SYN P","ALIA HAEMORRHAGIA IN GRAVIDITATE,SYNN PÄÄTT HOITOJ",641.8,Other antepartum hemorrhage,4_digit_level,641.8,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Other antepartum haemorrhage",parent_match,0
6419A,"HEMOR GRAV NUD,E SYN","HAEMORRHAGIA NUD IN GRAVIDITATE,HOITOJ ENN SYNN NUD",641.9,Unspecified antepartum hemorrhage,4_digit_level,641.9,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Unspecified antepartum haemorrhage",parent_match,0
6419B,"HEMOR GRAV NUD,SYN P","HAEMORRHAGIA NUD IN GRAVIDITATE,SYNN PÄÄTT HOITOJ",641.9,Unspecified antepartum hemorrhage,4_digit_level,641.9,"Antepartum haemorrhage, abruptio placentae and placenta praevia, Unspecified antepartum haemorrhage",parent_match,0
642,MB HYPERT GRAV/PUERP,MORBUS HYPERTONICUS IN GRAVIDITATE ET PUERPERIO,642,"Hypertension complicating pregnancy, childbirth, and the puerperium",4_digit_level,642,"Hypertension complicating pregnancy, childbirth and the puerperium",full_match,0
6420X,"HYPERT AR ES,IN GRAV","HYPERTENSIO ARTER ESS IN GRAVIDITATE,",642.0,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium",4_digit_level,642.0,"Hypertension complicating pregnancy, childbirth and the puerperium, Benign essential hypertension complicating pregnancy, childbirth and the puerperium",unique_parent_match,0
6421X,HYPERT GRAVID MB REN,HYPERTENSIO ARTERIALIS GRAVIDARUM E MORBO RENALIS,642.1,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium",4_digit_level,642.1,"Hypertension complicating pregnancy, childbirth and the puerperium, Hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium",unique_parent_match,0
6422X,HYPERT ALIA GRAVID,HYPERTENSIO ARTERIALIS ALIA GRAVIDARUM,642.2,"Other pre-existing hypertension complicating pregnancy, childbirth, and the puerperium",4_digit_level,642.2,"Hypertension complicating pregnancy, childbirth and the puerperium, Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium",unique_parent_match,0
6423A,"HYPERT GRAV,ENN SYNN","HYPERTENSIO GRAVIDARUM, ENNEN SYNNYTYSTÄ",642.3,Transient hypertension of pregnancy,4_digit_level,642.3,"Hypertension complicating pregnancy, childbirth and the puerperium, Transient hypertension of pregnancy",parent_match,0
6423B,"HYPERT GRAV,SYN AIK","HYPERTENSIO GRAVIDARUM, SYNNYTYKSEN AIKANA",642.3,Transient hypertension of pregnancy,4_digit_level,642.3,"Hypertension complicating pregnancy, childbirth and the puerperium, Transient hypertension of pregnancy",parent_match,0
6423C,"HYPERT GRAV,SYN JÄLK","HYPERTENSIO GRAVIDARUM, SYNNYTYKSEN JÄLKEEN",642.3,Transient hypertension of pregnancy,4_digit_level,642.3,"Hypertension complicating pregnancy, childbirth and the puerperium, Transient hypertension of pregnancy",parent_match,0
6424A,"PRE-ECL LEV,ENN SYNN","PRAE-ECLAMPSIA  LEVIS, ENNEN SYNNYTYSTÄ",642.4,Mild or unspecified pre-eclampsia,4_digit_level,642.4,"Hypertension complicating pregnancy, childbirth and the puerperium, Mild or unspecified pre-eclampsia",parent_match,0
6424B,"PRE-ECL LEV,SYNN AIK","PRAE-ECLAMPSIA  LEVIS, SYNNYTYKSEN AIKANA",642.4,Mild or unspecified pre-eclampsia,4_digit_level,642.4,"Hypertension complicating pregnancy, childbirth and the puerperium, Mild or unspecified pre-eclampsia",parent_match,0
6424C,"PRE-ECL LEV,SYN JÄLK","PRAE-ECLAMPSIA  LEVIS, SYNNYTYKSEN JÄLKEEN",642.4,Mild or unspecified pre-eclampsia,4_digit_level,642.4,"Hypertension complicating pregnancy, childbirth and the puerperium, Mild or unspecified pre-eclampsia",parent_match,0
6425A,"PRE-ECL GRAV,ENN SYN","PRAE-ECLAMPSIA GRAVIS, ENNEN SYNNYTYSTÄ",642.5,Severe pre-eclampsia,4_digit_level,642.5,"Hypertension complicating pregnancy, childbirth and the puerperium, Severe pre-eclampsia",parent_match,0
6425B,"PRE-ECL GRAV,SYN AIK","PRAE-ECLAMPSIA GRAVIS, SYNNYTYKSEN AIKANA",642.5,Severe pre-eclampsia,4_digit_level,642.5,"Hypertension complicating pregnancy, childbirth and the puerperium, Severe pre-eclampsia",parent_match,0
6425C,"PRE-ECL GRAV,SYN JÄL","PRAE-ECLAMPSIA GRAVIS, SYNNYTYKSEN JÄLKEEN",642.5,Severe pre-eclampsia,4_digit_level,642.5,"Hypertension complicating pregnancy, childbirth and the puerperium, Severe pre-eclampsia",parent_match,0
6426A,"ECLAMPSIA,ENN SYNN","ECLAMPSIA , ENNEN SYNNYTYSTÄ",642.6,"Eclampsia complicating pregnancy, childbirth or the puerperium",4_digit_level,642.6,"Hypertension complicating pregnancy, childbirth and the puerperium, Eclampsia",parent_match,0
6426B,"ECLAMPSIA,SYN AIK","ECLAMPSIA , SYNNYTYKSEN AIKANA",642.6,"Eclampsia complicating pregnancy, childbirth or the puerperium",4_digit_level,642.6,"Hypertension complicating pregnancy, childbirth and the puerperium, Eclampsia",parent_match,0
6426C,"ECLAMPSIA,SYNN JÄLK","ECLAMPSIA , SYNNYTYKSEN JÄLKEEN",642.6,"Eclampsia complicating pregnancy, childbirth or the puerperium",4_digit_level,642.6,"Hypertension complicating pregnancy, childbirth and the puerperium, Eclampsia",parent_match,0
6427A,"PRE/ECL+HYPERT,EN SY","PRAE-ECL SEU ECL CUM HYPERT ART,ENNEN SYNNYTYSTÄ",642.7,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension,4_digit_level,642.7,"Hypertension complicating pregnancy, childbirth and the puerperium, Pre-eclampsia or eclampsia superimposed on pre-existing hypertension",parent_match,0
6427B,"PRE/ECL+HYPERT,SY AI","PRAE-ECL SEU ECL CUM HYPERT ART,SYNNYTYKSEN AIKANA",642.7,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension,4_digit_level,642.7,"Hypertension complicating pregnancy, childbirth and the puerperium, Pre-eclampsia or eclampsia superimposed on pre-existing hypertension",parent_match,0
6427C,"PRE/ECL+HYPERT,SY JÄ","PRAE-ECL SEU ECL CUM HYPERT ART,SYNNYTYKSEN JÄLK",642.7,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension,4_digit_level,642.7,"Hypertension complicating pregnancy, childbirth and the puerperium, Pre-eclampsia or eclampsia superimposed on pre-existing hypertension",parent_match,0
6429A,"HYPERT GRA NU,EN SYN","HYPERTENSIO GRAVIDARUM NUD,ENNEN SYNNYTYSTÄ",642.9,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium",4_digit_level,642.9,"Hypertension complicating pregnancy, childbirth and the puerperium, Unspecified hypertension complicating pregnancy, childbirth, or the puerperium",parent_match,0
6429B,"HYPERT GRA NU,SYN AI","HYPERTENSIO GRAVIDARUM NUD,SYNNYTYKSEN AIKANA",642.9,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium",4_digit_level,642.9,"Hypertension complicating pregnancy, childbirth and the puerperium, Unspecified hypertension complicating pregnancy, childbirth, or the puerperium",parent_match,0
6429C,"HYPERT GRA NU,SYN JÄ","HYPERTENSIO GRAVIDARUM NUD,SYNNYTYKSEN JÄLKEEN",642.9,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium",4_digit_level,642.9,"Hypertension complicating pregnancy, childbirth and the puerperium, Unspecified hypertension complicating pregnancy, childbirth, or the puerperium",parent_match,0
643,EMESIS GRAVIDARUM,EMESIS GRAVIDARUM,643,Excessive vomiting in pregnancy,4_digit_level,643,Excessive vomiting in pregnancy,full_match,0
6430A,HYPEREM GRAV-DIS MET,HYPEREMESIS GRAVIDARUM SINE DISTURBATIONE METABOL,643.0,Mild hyperemesis gravidarum,4_digit_level,643.0,"Excessive vomiting in pregnancy, Mild hyperemesis gravidarum",unique_parent_match,0
6431A,HYPEREM GRAV+DIS MET,HYPEREMESIS GRAVIDARUM CUM DISTURBATIONE METABOL,643.1,Hyperemesis gravidarum with metabolic disturbance,4_digit_level,643.1,"Excessive vomiting in pregnancy, Hyperemesis gravidarum with metabolic disturbance",unique_parent_match,0
6432A,EMESIS GRAVID MENSIS,"EMESIS GRAVIDARUM IV,V,VI  ETC.",643.2,Late vomiting of pregnancy,4_digit_level,643.2,"Excessive vomiting in pregnancy, Late vomiting of pregnancy",unique_parent_match,0
6438X,EMESIS GRAVID ALIA,EMESIS GRAVIDARUM ALIA DEFINITA,643.8,Other vomiting complicating pregnancy,4_digit_level,643.8,"Excessive vomiting in pregnancy, Other vomiting complicating pregnancy",unique_parent_match,0
6439X,EMESIS GRAVID NUD,EMESIS GRAVIDARUM NUD,643.9,Unspecified vomiting of pregnancy,4_digit_level,643.9,"Excessive vomiting in pregnancy, Unspecified vomiting of pregnancy",unique_parent_match,0
644,PARTUS IMMIN/PRAEMAT,PARTUS IMMINENS ET PARTUS PRAEMATURUS,644,Early or threatened labor,4_digit_level,644,Early or threatened labour,full_match,0
6440A,PARTUS PRAEMAT IMMIN,PARTUS PRAEMATURUS IMMINENS,644.0,Threatened premature labor,4_digit_level,644.0,"Early or threatened labour, Threatened premature labour",parent_match,0
6440B,PARTUS PRAEMATURUS,PARTUS PRAEMATURUS,644.0,Threatened premature labor,4_digit_level,644.0,"Early or threatened labour, Threatened premature labour",parent_match,0
6441A,LABORES INHIBITI,"LABORES INHIBITI (""FALSE LABOUR"")",644.1,Other threatened labor,4_digit_level,644.1,"Early or threatened labour, Other threatened labour",unique_parent_match,0
645,GRAVIDITAS PROLONGAT,GRAVIDITAS PROLONGATA,645,Late pregnancy,4_digit_level,645,Prolonged pregnancy,full_match,0
6450A,GRAVID PROL ANT PAR,GRAVIDITAS PROLONGATA ANTE PARTUM,645,Late pregnancy,3_digit_level,645.0,Prolonged pregnancy,parent_match,0
6450B,GRAVID PROL CUM PART,GRAVIDITAS PROLANGATA CUM PARTU,645,Late pregnancy,3_digit_level,645.0,Prolonged pregnancy,parent_match,0
646,COMPLIC GRAVID AL,COMPLICATIONES GRAVIDITALIS ALIAE,646,"Other complications of pregnancy, not elsewhere classified",4_digit_level,646,"Other complications of pregnancy, not elsewhere classified",full_match,0
6460A,FOETUS PAPYRACEUS,FOETUS PAPYRACEUS,646.0,Papyraceous fetus,4_digit_level,646.0,"Other complications of pregnancy, not elsewhere classified, Papyraceous foetus",unique_parent_match,0
6461A,OEDEMA GRAVIDARUM,OEDEMA GRAVIDARUM,646.1,"Edema or excessive weight gain in pregnancy, without mention of hypertension",4_digit_level,646.1,"Other complications of pregnancy, not elsewhere classified, Oedema or excessive weight gain in pregnancy, without mention of hypertension",unique_parent_match,0
6462A,PROTEINURIA GRAVIDAR,PROTEINURIA GRAVIDARUM,646.2,"Unspecified renal disease in pregnancy, without mention of hypertension",4_digit_level,646.2,"Other complications of pregnancy, not elsewhere classified, Unspecified renal disease in pregnancy, without mention of hypertension",unique_parent_match,0
6463A,HABITUAL ABORTER,"""HABITUAL ABORTER""",646.3,Recurrent pregnancy loss,4_digit_level,646.3,"Other complications of pregnancy, not elsewhere classified, Habitual aborter",unique_parent_match,0
