Code,n_codes,freq_finngen_per,Finnish,English
31100,29,0.00668%,"Lievästi vajaamieliset ÄO n. 52-67, Tartuntatautien ja nyrkytysten jälkitilat, Esim. vihurirokko, kuppa, toksoplasmoosi","Mild mental retardation, Following infections and intoxications, Post infectionem praenatalem"
34302,29,0.00668%,"Lapsuusiän spastinen aivohalvaus, Tetraplegia spastica","Cerebral spastic infantile paralysis, Tetraplegia spastica"
36309,29,0.00668%,"Sarveiskalvontulehdus, Ulcus corneae NUD","Keratitis, Ulcus corneae NUD"
36390,29,0.00668%,"Sarveiskalvontulehdus, Non ulcerosa, superficialis, punetata. Erosiones recidivantes","Keratitis, Non ulcerosa, superficialis, punetata. Erosiones recidivantes"
42410,29,0.00668%,"Ei-reumaattinen, krooninen sydämen sisäkalvontulehdus, Aortae, non operata","Chronic disease of endocardium, Aortae, non operata"
50308,29,0.00668%,"Krooninen sivuontelontulehdus, Alia definita","Chronic sinusitis, Alia definita"
59709,29,0.00668%,"Virtsanjohtimentulehdus, ei sukupuolitaudista johtuvaa, NUD","Urethritis (non-venereal), Unspecified"
61100,29,0.00668%,"Ei sisällä imetykseen tai lapsivuoteuteen läheisesti liityviä tapauksia, Mastitis acuta","Other diseases of breast, Mastitis acuta"
63609,29,0.00668%,"Raskauden- ja lapsivuoteuden aikaiset munuaistaudit, NUD","Renal disease arising during pregnancy and the puerperium, Unspecified"
65130,29,0.00668%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
65586,29,0.00668%,Perä- tai jalkatarjonta,Complete or incomplete breech presentation
69288,29,0.00668%,"Muut ihottumat tai ihotulehdukset, Muista tunnetuista syistä johtuva","Other eczema and dermatitis, E causis alii definitis"
70403,29,0.00668%,"Karvojen ja karvatuppien sairaudet, Pili retenti (ingrown hair)","Diseases of hair and hair follicles, Pili retenti (ingrown hair)"
70898,29,0.00668%,"Nokkosihottuma, Alia definita","Urticaria, Alia definita"
73490,29,0.00668%,"Hajapesäkkeiset sidekudostaudit, Keratonconjunctivitis sicca","Diffuse diseases of connective tissue, Keratonconjunctivitis sicca"
73498,29,0.00668%,"Hajapesäkkeiset sidekudostaudit, Alii definiti","Diffuse diseases of connective tissue, Alii definiti"
74929,29,0.00668%,"Huulihalkio, suulakihalkio, NUD","Cleft palate and cleft lip, Unspecified"
93000,29,0.00668%,"Vieras esine silmässä ja silmän sivuelimissä, Irrallinen vieras esine","Foreign body in eye and adnexa, Conjunctivae"
Y3399,29,0.00668%,Tapaturman tai leikkauksen jälkeiset muovauskirurgiset toimenpiteet,Plastic surgery following injury or operation
Y6999,29,0.00668%,Muu,Other
05306,28,0.00645%,"Vyöruusu, Alius","Herpes zoster, Alius"
30630,28,0.00645%,"Hermoston ja aistimien oireet, joita ei voi luokitella muualle, Aliae perturbationes psychomotoriae","Special symptoms not elsewhere classified, Other psychomotor disorders"
36398,28,0.00645%,"Sarveiskalvontulehdus, Alia definita","Keratitis, Alia definita"
39403,28,0.00645%,"Hiippaläppien muutokset, Operata (febris rheumatica inactiva)","Diseases of mitral valve, Operata (febris rheumatica inactiva)"
43190,28,0.00645%,"Aivo-verenvuoto, Intracerebralis, hypertonia non indicata","Cerebral haemorrhage, Intracerebralis, hypertonia non indicata"
45198,28,0.00645%,"Laskimotulehdus- ja laskimotukkotulehdus, Alia definita","Phlebitis and thrombophlebitis, Alia definita"
51993,28,0.00645%,"Muut hengityselinten taudit, Stenosis bronchi et tracheae","Other diseases of respiratory system, Stenosis bronchi et tracheae"
57009,28,0.00645%,"Äkillinen ja puoliäkillinen maksakuolio, NUD","Acute and subacute necrosis of liver, Unspecified"
57700,28,0.00645%,"Haiman sairaudet, Pancreatitis acuta haemorrhagica","Diseases of pancreas, Pancreatitis acuta haemorrhagica"
59609,28,0.00645%,"Muut virtsarakon taudit, NUD","Other diseases of bladder, Unspecified"
62120,28,0.00645%,"Muut kohdunkaulan sairaudet, Hyperplasia endometrii cervicalis","Other diseases of cervix, Hyperplastic endometritis of cervix"
65005,28,0.00645%,"Synnytys, ei tietoa komplikaatiosta, Syvä poikkiasento","Delivery without mention of complication, Cephalic presentation, transverse position"
65810,28,0.00645%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
66150,28,0.00645%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
69599,28,0.00645%,"Ihopunoittumat, NUD","Erythematous condition, Other and unspecified"
72509,28,0.00645%,"Nikamanvälilevyn luiskahdukset, Cervicalis NUD","Displacement of intervertebral disk, Cervicalis NUD"
74810,28,0.00645%,"Hengityselinten synnynnäiset epämuodostumat, Maleformationes nasi aliae","Congenital anomalies of respiratory system, Other anomalies of nose"
75510,28,0.00645%,"Muut raajojen synnynnäiset epämuodostumat, Syndactylia sine reductione phalangis, manus","Other congenital anomalies of limbs, Syndactylia sine reductione phalangis, manus"
81252,28,0.00645%,"Olkaluun murtuma, Partis inferioris, Complicata","Fracture of humerus, Lower end, open"
82191,28,0.00645%,"Murtumat muissa ja tarkemmin määrittelemättömissä reisiluun osissa, Femoris partis inferioris, Sequelae","Fracture of other and unspecified parts of femur, Femoris partis inferioris, Sequelae"
89010,28,0.00645%,"Haava lonkan tai reiden aluella, Komplisoitunut","Open wound of hip and thigh, Complicated"
92901,28,0.00645%,"Muualla sijaitsevat useat tai tarkemmin määrittelemättömät ruhjevammat, NUD","Contusion of other, multiple and unspecified sites, Unspecified"
99830,28,0.00645%,"Muut kirurgisiin toimenpiteisiin liittyvät komplikaatiot, Leikkaushaavan repeäminen","Other complications of surgical procedures, Disruption of operation wound"
00309,27,0.00622%,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria NUD","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria NUD"
01104,27,0.00622%,"Keuhkotuberkuloosi, Tuberculoma pulmonum","Pulmonary tuberculosis, Tuberculoma pulmonum"
05300,27,0.00622%,"Vyöruusu, Opthalmicus","Herpes zoster, Opthalmicus"
09100,27,0.00622%,"Aikainen oireellinen kuppa, Infectio primaria syphilitica genitalis","Early syphilis, symptomatic, Primary syphilis, except extragenital chancre"
21502,27,0.00622%,"Muu lihaskudoksen tai sidekalvon hyvänlaatuinen kasvain, Trunci","Other benign neoplasm of muscular and connective tissue, Trunci"
21605,27,0.00622%,"Ihon hyvänlaatuinen kasvain, Capillitii","Benign neoplasm of skin, Capillitii"
27400,27,0.00622%,"Kihti, Arthritis urica. Synovitis urica","Gout, Arthritis urica. Synovitis urica"
27900,27,0.00622%,"Muut tai tarkemmin määrittelemättömät aineenvaihduntahäiriöt, Hypercholesterolaemia non familiaris sive NUD","Other and unspecified metabolic diseases, Hypercholesterolaemia non familiaris sive NUD"
33000,27,0.00622%,"Perinnölliset hermolihassairaudet, Atrophia muscularis neuropathica. Morbus Charcot-Marie-Tooth","Hereditary neuromuscular disorders, Neuropathic muscular atrophy"
34793,27,0.00622%,"Muut aivosairaudet, Hydrocephalus acquisitus NUD","Other disease of brain, Hydrocephalus acquisitus NUD"
36702,27,0.00622%,"Näköhermon ja verkkokalvon tulehdus, Neuritis optica. Papillitis","Inflammation of optic nerve and retina, Neuritis optica. Papillitis"
39500,27,0.00622%,"Aorttaläppien muutokset, Cum stenosi (febris rheumatica inactiva)","Diseases of aortic valve, Cum stenosi (febris rheumatica inactiva)"
48501,27,0.00622%,"Tarkemmin määrittelemätön katarrikeuhkokuume, Pneumonia aspiratoria","Bronchopneumonia, unspecified, Pneumonia aspiratoria"
52400,27,0.00622%,"Purentaelimen poikkeavuudet, Leukojen koon poikkeavuudet","Dento-facial anomalies including malocclusion, Major anomalies of jaw size"
56000,27,0.00622%,"Suoliston kureutuminen ilman tietoa tyrästä, Invaginatio","Intestinal obstruction without mention of hernia, Intussusception"
56907,27,0.00622%,"Muut suoliston ja vatsakalvon taudit, Prolapsus recti","Other diseases of intestines and peritoneum, Prolapsus recti"
59608,27,0.00622%,"Muut virtsarakon taudit, Alii definiti","Other diseases of bladder, Alii definiti"
63000,27,0.00622%,"Raskauden aikaiset sukuelinten infektiot, Salpingo-oophoritis","Infections of genital tract during pregnancy, Salpingo-oophoritis"
68100,27,0.00622%,"Sormien ja varpaiden sidekudostulehdus (ajotulehdus), Panaritium","Cellulitis of finger and toe, Panaritium"
68309,27,0.00622%,"Äkillinen imusolmuketulehdus, NUD","Acute lymphadenitis, Unspecified"
71220,27,0.00622%,"Reumaattiset niveltulehdukset ja vastaavat tilat, Arthritis palindromica","Rheumatoid arthritis and allied conditions, Palindromic rheumatism"
73803,27,0.00622%,"Muut epämuodostumat, Genu varum","Other deformities, Genu varum"
78112,27,0.00622%,"Muut hermoston ja eräiden aistinelinten oireet, Nystagmus","Other symptoms referable to nervous system and special senses, Nystagmus"
80231,27,0.00622%,"Naaman luiden murtuma, Mandibulae, Complicata","Fracture of face bones, Mandible, open"
81392,27,0.00622%,"Kyynärluun ja värttinäluun murtuma, Radii cum ulna, Sequelae","Fracture of radius and ulna, Radii cum ulna, Sequelae"
82001,27,0.00622%,"Reisiluun ylemmän osan murtuma, Pertrochanterica, Non complicata (sive NUD)","Fracture of neck of femur, Pertrochanterica, Non complicata (sive NUD)"
82610,27,0.00622%,"Varvasmurtuma, Komplisoitunut","Fracture of one or more phalanges of foot, Open"
89190,27,0.00622%,"Haava polven, säären ja nilkan alueella, Jälkivaivat","Open wound of knee, leg (except thigh) and ankle, Late effect"
89200,27,0.00622%,"Haava jalkaterässä, mutta ei varpaissa, Ei-Komplis. (tai tark. Määrittelemätön)","Open wound of foot, except toe(s) alone, Without mention of complication"
91800,27,0.00622%,"Muualla sijaitsevia useita tai tarkemmin määrittelemättömiä pintahaavoja, Loci alterius sive multiplex, Non complicata (sive NUD)","Superficial injury of other, multiple and unspecified sites, Loci alterius sive multiplex, Non complicata (sive NUD)"
97886,27,0.00622%,"Kahden tai useamman lääkeaineen kombinatio, Muut psykoterapeutit muissa kuin yllä mainituissa kombinaatioissa",NA
E9019,27,0.00622%,"Voimakas kylmyys. Ei sisällä kylmänkyhmyjä (443,2)",Excessive cold
E9919,27,0.00622%,Ammukset. Ei sisällä atomipommia,Injury due to war operations by bullets and fragments
00820,26,0.00599%,"Muun tietyn eliön aiheuttama suolitulehdus, Bacterica alia specificata","Enteritis due to other specified organism, Other specified bacteria"
07200,26,0.00599%,"Sikotauti, Cum pancreatitide","Mumps, Cum pancreatitide"
09800,26,0.00599%,"Tippuri, Urethritis acuta cum cervicitide","Gonococcal infections, Urethritis acuta cum cervicitide"
11004,26,0.00599%,"Kasviloisten aiheuttamat ihotaudit, Inguinis","Dermatophytosis, Inguinis"
17261,26,0.00599%,"Ihon pahanlaatuinen melooma, Trunci","Malignant melanoma of skin, Trunk, except scrotum"
22330,26,0.00599%,"Munuaisten ja muiden virtsaelinten hyvänlaatuinen kasvain, Vesicae urinariae","Benign neoplasm of kidney and other urinary organs, Bladder"
28590,26,0.00599%,"Muut ja tarkemmin määrittelemättömät vähäverisyydet, Secundaria (e nephropatia, collagenosa, infectione etc.)","Other and unspecified anaemias, Secundaria (e nephropatia, collagenosa, infectione etc.)"
29199,26,0.00599%,"Alkoholipsykoosi, NUD","Alcoholic psychosis, Other and unspecified"
36008,26,0.00599%,NA,"Conjunctivitis and ophthalmia, Alia definita"
42508,26,0.00599%,"Sydänlihasvika, Alia definita","Cardiomyopathy, Alia definita"
44440,26,0.00599%,"Valtimoveritulppa ja -tukos, Extremitatum","Arterial embolism and thrombosis, Of arteries of the extremities"
44708,26,0.00599%,"Muut taudit valtimoissa ja pikkuvaltimoissa, Alii definiti","Other disease of arteries and arterioles, Alii definiti"
47201,26,0.00599%,"Influenssa, johon liittyy muita oireita hengitysteissä, Cum bronchitide","Influenza with other respiratory manifestations, Cum bronchitide"
52340,26,0.00599%,"Hampaan vieruskudosten sairaudet, Krooninen hampaan vierustulehdus","Periodontal diseases, Chronic periodontitis"
53098,26,0.00599%,"Ruokatorven sairaudet, Alii definiti","Diseases of oesophagus, Alii definiti"
55199,26,0.00599%,"Muu vatsatyrä, kuroutumisesta ei ole tietoa, NUD","Other hernia of abdominal cavity without mention of obstruction, Of unspecified site"
56104,26,0.00599%,"Muu kuin haavainen maha-suoli- ja paksusuolentulehdus, jonka syynä ei ole tartuma, Entero-colitis non infectiosa","Gastro-enteritis and colitis, except ulcerative, of non-infectious origin, Entero-colitis non infectiosa"
59702,26,0.00599%,"Virtsanjohtimentulehdus, ei sukupuolitaudista johtuvaa, Chronica","Urethritis (non-venereal), Chronica"
61698,26,0.00599%,"Kohdun vieruskudoksen ja lantio-vatsakalvon sairaudet, Alii definiti","Diseases of parametrium and pelvic peritoneum (female), Alii definiti"
74659,26,0.00599%,"Synnynnäiset sydänviat, Maleformatio valvulae mitralis","Congenital anomalies of heart, Maleformatio valvulae mitralis"
75360,26,0.00599%,"Virtsaelinten synnynnäiset epämuodostumat, Valvula urethrae cum hydronephrosi","Congenital anomalies of urinary system, Valvula urethrae cum hydronephrosi"
78911,26,0.00599%,"Tuntemattomasta syystä johtuvat virtsan poikkeavuudet, Pyuria","Abnormal urinary constituents of unspecified cause, Pyuria"
80110,26,0.00599%,"Kallonpohjan murtuma, Komplisoitunut","Fracture of base of skull, Open"
80590,26,0.00599%,"Selkärangan murtuma ilman selkäytimen vahingoittumista tai tarkemmin määrittelemätön selkärangan murtuma, Cervicalis, Sequelae","Fracture and fracture dislocation of vertebral column without mention of spinal cord lesion, Cervicalis, Sequelae"
81391,26,0.00599%,"Kyynärluun ja värttinäluun murtuma, Ulnae, Sequelae","Fracture of radius and ulna, Ulnae, Sequelae"
83200,26,0.00599%,"Sijoiltaanmeno kyynärnivelessä, Capituli radii cubiti, Non complicata (sive NUD)","Dislocation of elbow, Capituli radii cubiti, Non complicata (sive NUD)"
85290,26,0.00599%,"Tapaturman aiheuttama verenvuoto lukinkalvon ja kovakalvon alla tai kovakalvon ulkopuolella ilman aivoruhjetta tai -repeämää, Jälkivaivat","Subarachnoid, subdural and extradural haemorrhage, following injury (without mention of cerebral laceration or contusion), Late effect"
87200,26,0.00599%,"Haava korvassa, Ei-Komplis. (tai tark. Määrittelemätön)","Open wound of ear, Without mention of complication"
89290,26,0.00599%,"Haava jalkaterässä, mutta ei varpaissa, Jälkivaivat","Open wound of foot, except toe(s) alone, Late effect"
91700,26,0.00599%,"Pintahaava jalkaterässä ja varpaassa, Ei-Komplis. (tai tark. Määrittelemätön)","Superficial injury of foot and toe(s), Without mention of infection"
99410,26,0.00599%,"Muiden ulkoisten olosuhteiden vaikutus, Hukkuminmen, hukkumisvaara ja muu vamma, joka aiheutuu vajoamisesta veden alle","Effects of other external causes, Drowning and nonfatal submersion"
E9419,26,0.00599%,"Muun liikennetapaturma jälkiseuraus. Sisältää kohtien E 807, E 825 - E 827, E 838, E 846 mukaan luokiteltujen tapaturmien jälkiseuraukset",Late effect of other transport accident
E9569,26,0.00599%,Leikkaavalla tai pistävällä aseella tehty itsemurha jne.,Suicide and self-inflicted injury by cutting and piercing instruments
03888,25,0.00576%,"Verenmyrkytys, E micriobosibus aliis definitis","Septicaemia, E micriobosibus aliis definitis"
21010,25,0.00576%,"Suuontelon ja nielun hyvänlaatuiset kasvaimet, Linguae","Benign neoplasm of buccal cavity and pharynx, Tongue"
21308,25,0.00576%,"Luun ja ruston hyvänlaatuinen kasvain, Loco alio sive multiplici","Benign neoplasm of bone and cartilage, Loco alio sive multiplici"
27200,25,0.00576%,"Synnynnäiset häiriöt rasva-aineenvaihdunnassa, Hypercholesterolaemia essentialis sive familiaris","Congenital disorders of lipid metabolism, Hypercholesterolaemia essentialis sive familiaris"
36504,25,0.00576%,"Silmän suonikalvontulehdus, Retinis, Retino-chorioiditis","Choroiditis, Retinis, Retino-chorioiditis"
37703,25,0.00576%,"Muut verkkokalvon ja näköhermon taudit, Thrombosis venae centralis retinae","Other diseases of retina and optic nerve, Thrombosis venae centralis retinae"
37710,25,0.00576%,"Muut verkkokalvon ja näköhermon taudit, Degeneratio maculae luteae","Other diseases of retina and optic nerve, Degeneratio maculae luteae"
38998,25,0.00576%,"Muu kuurous, Alia definita","Other deafness, Alia definita"
42500,25,0.00576%,"Sydänlihasvika, Stenosis subaortae hypertrophicans","Cardiomyopathy, Stenosis subaortae hypertrophicans"
44390,25,0.00576%,"Muut perifeeristen verisuonien sairaudet, Claudicatio intermittens","Other peripheral vascular disease, Claudicatio intermittens"
57100,25,0.00576%,"Maksankovettuma, Cirrhosis cum alcoholismo","Cirrhosis of liver, Cirrhosis cum alcoholismo"
59001,25,0.00576%,"Munuaisen tartuntataudit, Pyelonephrosis chronica","Infections of kidney, Pyelonephrosis chronica"
59200,25,0.00576%,"Munuaiskivi ja virtsanjohdinkivi, Lukuisat pienet kivettymät munuaiskudoksessa","Calculus of kidney and ureter, Nephrocalcinosis"
59700,25,0.00576%,"Virtsanjohtimentulehdus, ei sukupuolitaudista johtuvaa, Acuta","Urethritis (non-venereal), Acuta"
60780,25,0.00576%,"Muut miehen sukuelinten taudit, Atrophia testis","Other disease of male genital organs, Atrophy of testicle"
61593,25,0.00576%,"Muut munasarjan ja munanjohtimen sairaudet, Torsio adnexorum","Other diseases of ovary and Fallopian tube, Torsio adnexorum"
63300,25,0.00576%,"Raskaudenaikainen vähäverisyys, Anaemia macrocytica",Macrocytic anaemia of pregnancy
63430,25,0.00576%,"Muut raskaudenajan lisätaudit, Anomaliae placentae, alibi non classificabiles","Other complications of pregnancy, Hydramnios"
64192,25,0.00576%,"Muun laillisen syyn perusteella suoritettu raskauden keinokeskeytys, Lisääntynyt sikiön vauriovaara",NA
68299,25,0.00576%,"Muut sidekudos tulehdukset ja märkäpesäkkeet, NUD","Other cellulitis and abscess, Of other, multiple and unspecified sites"
69540,25,0.00576%,"Ihopunoittumat, Lupus erythematosus (discoides)","Erythematous condition, Lupus erythematosus"
72223,25,0.00576%,"Luuruston kasvuhäiriö, Ossium metarsalium et ossis navicularis pedis (Köhler)","Osteochondrosis, Ossium metarsalium et ossis navicularis pedis (Köhler)"
78070,25,0.00576%,"Hermoston ja aistinelinten oireet, Amnesia","Certain symptoms referable to nervous system and special senses, Amnesia"
78500,25,0.00576%,"Ruuansulatuskanavan alempien osien oireet, Intumescentia abdominis","Symptoms referable to abdomen and lower gastro-intestinal tract, Abdominal swelling (not referable to any particular organ)"
78550,25,0.00576%,"Ruuansulatuskanavan alempien osien oireet, Tenesmus rectalis","Symptoms referable to abdomen and lower gastro-intestinal tract, Tenesmus rectalis"
78560,25,0.00576%,"Ruuansulatuskanavan alempien osien oireet, Incontinentia alvi","Symptoms referable to abdomen and lower gastro-intestinal tract, Incontinence of faeces"
79000,25,0.00576%,"Hermostuneisuus ja heikkos, Nervosismus","Nervousness and debility, Nervousness"
79299,25,0.00576%,Virtsamyrkytys,Uraemia
80300,25,0.00576%,"Muut tai tarkemmin määrittelemättömät kallonmurtumat, Ei-Komplis. (tai tark. Määrittelemätön)","Other and unqualified skull fractures, Closed"
81590,25,0.00576%,"Kämmenluun murtuma, Jälkivaivat","Fracture of metacarpal bone(s), Late effect"
87010,25,0.00576%,"Silmän ja silmän seudun haava, Palpebrae et orbitae, oculi excepto, Complicata","Open wound of eye and orbit, Palpebrae et orbitae, oculi excepto, Complicata"
89000,25,0.00576%,"Haava lonkan tai reiden aluella, Ei-Komplis. (tai tark. Määrittelemätön)","Open wound of hip and thigh, Without mention of complication"
89310,25,0.00576%,"Haava varpassa, Komplisoitunut","Open wound of toe(s), Complicated"
E8199,25,0.00576%,"Auton ja muun ajoneuvon kuljettaja, lukuunottamatta moottoripyörän kuljettajaa, Henkilö, tarkemmin määrittelemätön","Motor vehicle traffic accident of unspecified nature, Unspecified person"
E9009,25,0.00576%,"Voimakas lämpö, Muualla tai tarkemmin määrittelemätön",NA
E9279,25,0.00576%,"Ajoneuvo-onnetomuudet, joita ei voida luokitella muualle. Sisältää pysäköidyn moottoriajoneuvon yksityisellä alueella (autotallissa, työpajassa), köysiradan, hissin, matkatavarankuljetusvaunun, tehdassajoneuvon ja kaivosajoneuvon. Ei sisällä liikenteessä olevaa (ei myöskään tilapäisesti pysäköityä) moottoriajoneuvoa (E 819)",Vehicle accidents not elsewhere classifiable
E9579,25,0.00576%,Korkealta hyppäämällä tehty itsemurha jne.,Suicide and self-inflicted injury by jumping from high place
Y2908,25,0.00576%,"Muut lääketieteelliset (ja kirurgiset) toimenpiteet ilmoittamatta diagnoosia, Muut toimenpiteet ilman diagnoosia koskevia tietoja",NA
Y4009,25,0.00576%,"Kosketus tartutettuun tai loissairauksia sairastavaan, Tuberkuloosi",NA
00710,24,0.00553%,"Muut alkueläinten aiheuttamat suolistotaudit, Giardiasis, Lambliasis","Other protozoal intestinal diseases, Giardiasis"
05309,24,0.00553%,"Vyöruusu, NUD","Herpes zoster, Unspecified"
05799,24,0.00553%,"Muut viruksen aiheuttamat ihottumat, NUD","Other viral exanthem, Unspecified"
21304,24,0.00553%,"Luun ja ruston hyvänlaatuinen kasvain, Yläraajan lyhyissä luissa","Benign neoplasm of bone and cartilage, Ossium brevium extremitatis superioris"
21509,24,0.00553%,"Muu lihaskudoksen tai sidekalvon hyvänlaatuinen kasvain, NUD","Other benign neoplasm of muscular and connective tissue, Unspecified"
22701,24,0.00553%,"Verisuoni- ja imusuonikasvain, Lymphangioma","Haemangioma and lymphangioma, Lymphangioma"
23040,24,0.00553%,"Ruuansulatuselinten epätarkasti määritellyt kasvaimet, Recti","Neoplasm of unspecified nature of digestive organs, Rectum"
23207,24,0.00553%,"Ihon, lihasten, sidekudoksen, luuston tai ruston tarkemmin määrittelemätön kasvain, Alaraajojen pitkien luiden luu- ja rustokasvain","Neoplasm of unspecified nature of skin and musculoskeletal system, Ossium longorum extremitatis inferioris"
23914,24,0.00553%,"Tarkemmin määrittelemätön kasvain muualla, Glandulae thyreoideae","Neoplasm of unspecified nature of other and unspecified organs, Glandulae thyreoideae"
24501,24,0.00553%,"Kilpirauhastulehdus, Subacuta alia","Thyroiditis, Subacuta alia"
24503,24,0.00553%,"Kilpirauhastulehdus, Chronica","Thyroiditis, Chronica"
25310,24,0.00553%,"Aivolisäkkeen taudit, Panhypopituitarismus","Diseases of pituitary gland, Panhypopituitarismus"
25320,24,0.00553%,"Aivolisäkkeen taudit, Adenoma chromophobicum pituitarium","Diseases of pituitary gland, Chromophobe adenoma, pituitary"
39097,24,0.00553%,"Kuumereuma ilman tietoa sydänoireista, Suspecta","Rheumatic fever without mention of heart involvement, Suspecta"
50200,24,0.00553%,NA,"Chronic pharyngitis and nasopharyngitis, Chronic pharyngitis"
56010,24,0.00553%,"Suoliston kureutuminen ilman tietoa tyrästä, Ileus paralyticus","Intestinal obstruction without mention of hernia, Paralytic ileus"
59909,24,0.00553%,"Muut virtsateiden taudit, NUD","Other diseases of urinary tract, Unspecified"
61190,24,0.00553%,"Ei sisällä imetykseen tai lapsivuoteuteen läheisesti liityviä tapauksia, Atrophia mammae","Other diseases of breast, Atrophia mammae"
61202,24,0.00553%,"Äkillinen munanjohtimen- ja munasarjantulehdus, Pyovarium acutum","Acute salpingitis and oophoritis, Pyovarium acutum"
61699,24,0.00553%,"Kohdun vieruskudoksen ja lantio-vatsakalvon sairaudet, NUD","Diseases of parametrium and pelvic peritoneum (female), Other"
63201,24,0.00553%,"Raskaudentilaan liittyvä verenvuoto, Placenta praevia partialis","Haemorrhage of pregnancy, Placenta praevia partialis"
65720,24,0.00553%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
66136,24,0.00553%,Perä- tai jalkatarjonta,Complete or incomplete breech presentation
70699,24,0.00553%,"Talirauhassairaudet, NUD","Diseases of sebaceous glands, Other"
75139,24,0.00553%,"Ruuamsulatuselinten muut synnynnäiset epämuodostumat, Morbus Hirschsprung NUD","Other congenital anomalies of digestive system, Morbus Hirschsprung NUD"
78039,24,0.00553%,"Hermoston ja aistinelinten oireet, Metus abnormis involuntarius alius sive NUD","Certain symptoms referable to nervous system and special senses, Metus abnormis involuntarius alius sive NUD"
78800,24,0.00553%,"Muita yleisiä oireita, Dehydratio","Other general symptoms, Electrolyte disorders"
87396,24,0.00553%,"Muu tai tarkemmin määrittelemätön haava päässä, Vulnus faciei partis alterius, Sequelae","Other and unspecified laceration of head, Vulnus faciei partis alterius, Sequelae"
88410,24,0.00553%,"Useat ja tarkemmin määrittelmättömät yläraajojen haavat, Komplisoitunut","Multiple and unspecified open wound of upper limb, Complicated"
89790,24,0.00553%,"Alaraajan tapaturmainen typistys (täydellinen) (osittainen), Jälkivaivat","Traumatic amputation of leg(s) (complete) (partial), Late effect"
97390,24,0.00553%,"Verenkiertoelimistöön vaikuttavat aineet, Sydänglykosidit",NA
00390,23,0.00530%,"Muut salmonellataudit, Breslau (typhi murium)","Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Breslau (typhi murium)"
25899,23,0.00530%,"Useiden umpieritysrauhasteb samanaikaiset häiriötilat ja muut tai tarkemmin määrittelemättömät umpieritysrauhasteb taudit, Morbi systematis endocrini NUD","Polyglandular dysfunction and other diseases of endocrine glands, Other and unspecified diseases of endocrine system"
28999,23,0.00530%,"Muut veren ja vertamuodostavien elinten taudit, NUD","Other disease of blood and blood-forming organs, Other and unspecified"
34520,23,0.00530%,"Kaatumatauti, Status epilepticus","Epilepsy, Status epilepticus"
38799,23,0.00530%,"Muut korvan ja kartiolisäkkeen taudit, NUD","Other disease of ear and mastoid process, Other"
44310,23,0.00530%,"Muut perifeeristen verisuonien sairaudet, Thrombangitis obliterans Buerger","Other peripheral vascular disease, Thrombo-angiitis obliterans (Buerger's disease)"
50601,23,0.00530%,"Krooninen kurkunpääntulehdus, Tracheolaryngitis chronica","Chronic laryngitis, Tracheolaryngitis chronica"
52760,23,0.00530%,"Sylkirauhasten sairaudet, Sisältää sylkirauhasen retentiokystan","Diseases of the salivary glands, Mucocele"
53099,23,0.00530%,"Ruokatorven sairaudet, NUD","Diseases of oesophagus, Other"
54308,23,0.00530%,"Muut umpilisäkkeen sairaudet, Alii definiti","Other diseases of appendix, Alii definiti"
59901,23,0.00530%,"Muut virtsateiden taudit, Diverticulum urethrae","Other diseases of urinary tract, Diverticulum urethrae"
60509,23,0.00530%,"Esinahan taudit, NUD","Redundant prepuce and phimosis, Unspecified"
63100,23,0.00530%,"Kohdunulkoinen raskaus, Abdominalis, cum sepsi","Ectopic pregnancy, Abdominal pregnancy, with sepsis"
65704,23,0.00530%,Avoin niska- tai takaraivotarjonta,"Occipital presentation, posterior position"
74199,23,0.00530%,"Avoin selkäydinhalkio, NUD","Spina bifida, Without mention of hydrocephalus"
74488,23,0.00530%,"Silmän synnynnäiset epämuodostumat, Aliae definitae","Congenital anomalies of eye, Aliae definitae"
74734,23,0.00530%,"Verenkiertoelinten muut synnynnäiset epämuodostumat, Stenosis, hypoplasia sive aplasia arteriae pulmonalis","Other congenital anomalies of circulatory system, Stenosis, hypoplasia sive aplasia arteriae pulmonalis"
75250,23,0.00530%,"Sukuelinten synnynnäiset epämuodostumat, Uterus subseptus unicollis et uterus septus","Congenital anomalies of genital organs, Uterus subseptus unicollis et uterus septus"
78000,23,0.00530%,"Hermoston ja aistinelinten oireet, Stupor","Certain symptoms referable to nervous system and special senses, Stupor"
80210,23,0.00530%,"Naaman luiden murtuma, Nasi, Complicata","Fracture of face bones, Nasal bones, open"
80292,23,0.00530%,"Naaman luiden murtuma, Ossium faciei aliorum, Sequelae","Fracture of face bones, Ossium faciei aliorum, Sequelae"
87800,23,0.00530%,"Haava ulkoisissa sukuelimissä sisältäen myös tapaturmaisen typistyksen, Ei-Komplis. (tai tark. Määrittelemätön)","Open wound of genital organs (external), including traumatic amputation, Without mention of complication"
